wbps_gene_id,principal_transcript_id,principal_cds_length,principal_isoform_type,genome_name,gene_description,transcript_biotype,species
TTRE2338,TTRE2338_t1,371.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE1705,TTRE1705_t1,255.0,protein_coding,,NAD(P)H-hydrate epimerase  [Source:UniProtKB/TrEMBL;Acc:A0A077ZAX5],protein_coding,trtricprjeb535
TTRE2093,TTRE2093_t1,335.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5803,TTRE5803_t1,239.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8816,TTRE8816_t1,377.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10948,TTRE10948_t1,,non_coding,,,nontranslating_CDS,trtricprjeb535
TTRE4878,TTRE4878_t1,184.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2443,TTRE2443_t1,448.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6095,TTRE6095_t1,559.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11473,TTRE11473_t1,325.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7650,TTRE7650_t1,408.0,protein_coding,,Protein phosphatase  [Source:UniProtKB/TrEMBL;Acc:A0A077ZFJ3],protein_coding,trtricprjeb535
TTRE930,TTRE930_t1,1631.0,protein_coding,,LBP  [Source:UniProtKB/TrEMBL;Acc:A0A077ZHA2],protein_coding,trtricprjeb535
TTRE12103,TTRE12103_t1,1067.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8149,TTRE8149_t1,231.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5894,TTRE5894_t1,212.0,protein_coding,,Helicase C and DEAD domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZC32],protein_coding,trtricprjeb535
TTRE3463,TTRE3463_t1,688.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6995,TTRE6995_t1,514.0,protein_coding,,Peptidase A2 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZKP2],protein_coding,trtricprjeb535
TTRE1347,TTRE1347_t1,224.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11556,TTRE11556_t1,419.0,protein_coding,,CRAL TRIO domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZC25],protein_coding,trtricprjeb535
TTRE9708,TTRE9708_t1,437.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE1578,TTRE1578_t1,174.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6697,TTRE6697_t1,206.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11079,TTRE11079_t1,413.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5395,TTRE5395_t1,192.0,protein_coding,,Phenylalanine--tRNA ligase alpha subunit  [Source:UniProtKB/TrEMBL;Acc:A0A077Z553],protein_coding,trtricprjeb535
TTRE9433,TTRE9433_t1,479.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11239,TTRE11239_t1,445.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5351,TTRE5351_t1,377.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE12277,TTRE12277_t1,740.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE604,TTRE604_t1,383.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2578,TTRE2578_t1,800.0,protein_coding,,F-box domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z2M2],protein_coding,trtricprjeb535
TTRE11497,TTRE11497_t1,343.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE641,TTRE641_t1,228.0,protein_coding,,Zf-RING 2 domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZML0],protein_coding,trtricprjeb535
TTRE3317,TTRE3317_t1,200.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6734,TTRE6734_t1,902.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE3147,TTRE3147_t1,235.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5284,TTRE5284_t1,225.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11590,TTRE11590_t1,1018.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4454,TTRE4454_t1,478.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5885,TTRE5885_t1,347.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2686,TTRE2686_t1,236.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6322,TTRE6322_t1,590.0,protein_coding,,Transmembrane protein 186  [Source:UniProtKB/TrEMBL;Acc:A0A077Z076],protein_coding,trtricprjeb535
TTRE3677,TTRE3677_t1,147.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8578,TTRE8578_t1,395.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE914,TTRE914_t1,383.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7050,TTRE7050_t1,1457.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE9151,TTRE9151_t1,1835.0,protein_coding,,Sterol-sensing domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YYG3],protein_coding,trtricprjeb535
TTRE12576,TTRE12576_t1,445.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7092,TTRE7092_t1,869.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6312,TTRE6312_t1,678.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE1077,TTRE1077_t1,143.0,protein_coding,,RNA polymerase II subunit A C-terminal domain phosphatase SSU72  [Source:UniProtKB/TrEMBL;Acc:A0A077ZI78],protein_coding,trtricprjeb535
TTRE5196,TTRE5196_t1,243.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE3451,TTRE3451_t1,893.0,protein_coding,,"Beta 1,4 galactosyltransferase 7  [Source:UniProtKB/TrEMBL;Acc:A0A077ZAE7]",protein_coding,trtricprjeb535
TTRE10063,TTRE10063_t1,518.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10628,TTRE10628_t1,1952.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE1621,TTRE1621_t1,168.0,protein_coding,,Cysteine-rich PDZ-binding protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YYJ3],protein_coding,trtricprjeb535
TTRE6319,TTRE6319_t1,2128.0,protein_coding,,Homeobox protein prospero  [Source:UniProtKB/TrEMBL;Acc:A0A077Z303],protein_coding,trtricprjeb535
TTRE5990,TTRE5990_t1,926.0,protein_coding,,Serine/threonine-protein phosphatase  [Source:UniProtKB/TrEMBL;Acc:A0A077Z737],protein_coding,trtricprjeb535
TTRE2975,TTRE2975_t1,333.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6842,TTRE6842_t1,479.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE1831,TTRE1831_t1,330.0,protein_coding,,Serine:threonine protein kinase tricorner  [Source:UniProtKB/TrEMBL;Acc:A0A077Z820],protein_coding,trtricprjeb535
TTRE4832,TTRE4832_t1,832.0,protein_coding,,Tyrosinase domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZGT3],protein_coding,trtricprjeb535
TTRE6354,TTRE6354_t1,320.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6967,TTRE6967_t1,455.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8900,TTRE8900_t1,359.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11810,TTRE11810_t1,326.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE924,TTRE924_t2,514.0,protein_coding,,T5orf172 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z0M1],protein_coding,trtricprjeb535
TTRE1912,TTRE1912_t1,617.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE370,TTRE370_t1,500.0,protein_coding,,Paramyosin  [Source:UniProtKB/TrEMBL;Acc:A0A077Z8E1],protein_coding,trtricprjeb535
TTRE3652,TTRE3652_t1,345.0,protein_coding,,TK protein kinase  [Source:UniProtKB/TrEMBL;Acc:A0A077Z082],protein_coding,trtricprjeb535
TTRE6692,TTRE6692_t1,205.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4617,TTRE4617_t1,240.0,protein_coding,,Dsrm domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZCW3],protein_coding,trtricprjeb535
TTRE8404,TTRE8404_t1,243.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2588,TTRE2588_t1,146.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6228,TTRE6228_t1,530.0,protein_coding,,PH domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZGC3],protein_coding,trtricprjeb535
TTRE5137,TTRE5137_t1,278.0,protein_coding,,Helicase C and ResIII domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZIV2],protein_coding,trtricprjeb535
TTRE4849,TTRE4849_t1,704.0,protein_coding,,Clc-like domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZH32],protein_coding,trtricprjeb535
TTRE10441,TTRE10441_t1,336.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11838,TTRE11838_t1,167.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7605,TTRE7605_t1,596.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7737,TTRE7737_t1,371.0,protein_coding,,Histone H2B  [Source:UniProtKB/TrEMBL;Acc:A0A077ZKV8],protein_coding,trtricprjeb535
TTRE6074,TTRE6074_t1,180.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10158,TTRE10158_t1,744.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE687,TTRE687_t1,325.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE9742,TTRE9742_t1,509.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE3149,TTRE3149_t1,241.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6487,TTRE6487_t1,1064.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8723,TTRE8723_t1,272.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11189,TTRE11189_t1,131.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE1054,TTRE1054_t1,1568.0,protein_coding,,Major facilitator superfamily transporter  [Source:UniProtKB/TrEMBL;Acc:A0A077Z4Q9],protein_coding,trtricprjeb535
TTRE10406,TTRE10406_t1,665.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE3682,TTRE3682_t1,313.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7038,TTRE7038_t1,695.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5008,TTRE5008_t1,520.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4948,TTRE4948_t1,523.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2200,TTRE2200_t1,598.0,protein_coding,,Bifunctional coenzyme A synthase  [Source:UniProtKB/TrEMBL;Acc:A0A077ZDK3],protein_coding,trtricprjeb535
TTRE241,TTRE241_t1,219.0,protein_coding,,ML domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YZJ9],protein_coding,trtricprjeb535
TTRE4704,TTRE4704_t1,137.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE196,TTRE196_t1,335.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7270,TTRE7270_t1,461.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE9613,TTRE9613_t1,1739.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE679,TTRE679_t1,441.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11691,TTRE11691_t1,635.0,protein_coding,,E3 ubiquitin-protein transferase MAEA  [Source:UniProtKB/TrEMBL;Acc:A0A077YXB7],protein_coding,trtricprjeb535
TTRE9431,TTRE9431_t2,4396.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2773,TTRE2773_t1,984.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11193,TTRE11193_t1,785.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5995,TTRE5995_t1,545.0,protein_coding,,RRM 1 domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z780],protein_coding,trtricprjeb535
TTRE4931,TTRE4931_t1,401.0,protein_coding,,Histone H2B  [Source:UniProtKB/TrEMBL;Acc:A0A077Z5K0],protein_coding,trtricprjeb535
TTRE2817,TTRE2817_t1,413.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5539,TTRE5539_t1,1073.0,protein_coding,,RNA helicase  [Source:UniProtKB/TrEMBL;Acc:A0A077ZI10],protein_coding,trtricprjeb535
TTRE7599,TTRE7599_t1,302.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5679,TTRE5679_t1,291.0,protein_coding,,Translocon-associated protein subunit gamma  [Source:UniProtKB/TrEMBL;Acc:A0A077YYM8],protein_coding,trtricprjeb535
TTRE2830,TTRE2830_t1,998.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE270,TTRE270_t1,944.0,protein_coding,,Palmitoyltransferase  [Source:UniProtKB/TrEMBL;Acc:A0A077Z7X7],protein_coding,trtricprjeb535
TTRE7099,TTRE7099_t1,461.0,protein_coding,,Regulator of rDNA transcription protein 15  [Source:UniProtKB/TrEMBL;Acc:A0A077ZMJ6],protein_coding,trtricprjeb535
TTRE3656,TTRE3656_t1,2283.0,protein_coding,,Kinesin protein KIF26A  [Source:UniProtKB/TrEMBL;Acc:A0A077ZA64],protein_coding,trtricprjeb535
TTRE6049,TTRE6049_t1,401.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2848,TTRE2848_t1,858.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE3341,TTRE3341_t1,352.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2248,TTRE2248_t2,273.0,protein_coding,,Solute carrier family 12  [Source:UniProtKB/TrEMBL;Acc:A0A077ZCE5],protein_coding,trtricprjeb535
TTRE8198,TTRE8198_t1,272.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10581,TTRE10581_t1,242.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10959,TTRE10959_t1,272.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE544,TTRE544_t1,178.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8351,TTRE8351_t1,170.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6123,TTRE6123_t1,125.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11395,TTRE11395_t1,113.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE9079,TTRE9079_t1,1911.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE857,TTRE857_t1,1360.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE3267,TTRE3267_t1,392.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4872,TTRE4872_t1,1350.0,protein_coding,,PHD-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YZ17],protein_coding,trtricprjeb535
TTRE293,TTRE293_t1,550.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11242,TTRE11242_t1,496.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2094,TTRE2094_t1,434.0,protein_coding,,Histone H4  [Source:UniProtKB/TrEMBL;Acc:A0A077Z9H5],protein_coding,trtricprjeb535
TTRE1239,TTRE1239_t1,192.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2108,TTRE2108_t1,155.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE927,TTRE927_t1,731.0,protein_coding,,DnaJ domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZN98],protein_coding,trtricprjeb535
TTRE9323,TTRE9323_t1,437.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6767,TTRE6767_t1,320.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5308,TTRE5308_t1,368.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE1447,TTRE1447_t1,241.0,protein_coding,,Hydroxysteroid dehydrogenase protein 2 like  [Source:UniProtKB/TrEMBL;Acc:A0A077Z0R7],protein_coding,trtricprjeb535
TTRE8937,TTRE8937_t1,212.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6746,TTRE6746_t1,290.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE9982,TTRE9982_t1,171.0,protein_coding,,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12  [Source:UniProtKB/TrEMBL;Acc:A0A077YX55],protein_coding,trtricprjeb535
TTRE3140,TTRE3140_t1,833.0,protein_coding,,TOX high mobility group box family member  [Source:UniProtKB/TrEMBL;Acc:A0A077YXK4],protein_coding,trtricprjeb535
TTRE8395,TTRE8395_t1,317.0,protein_coding,,Protein FAM36A  [Source:UniProtKB/TrEMBL;Acc:A0A077ZEE4],protein_coding,trtricprjeb535
TTRE11401,TTRE11401_t1,212.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2901,TTRE2901_t1,146.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE9335,TTRE9335_t1,566.0,protein_coding,,Adenylate kinase isoenzyme 6 homolog  [Source:UniProtKB/TrEMBL;Acc:A0A077Z8R8],protein_coding,trtricprjeb535
TTRE3915,TTRE3915_t1,161.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4955,TTRE4955_t1,644.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE1570,TTRE1570_t1,675.0,protein_coding,,Cullin associated NEDD8 dissociated protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z6L7],protein_coding,trtricprjeb535
TTRE607,TTRE607_t1,1059.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE966,TTRE966_t1,399.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10731,TTRE10731_t1,896.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6528,TTRE6528_t1,525.0,protein_coding,,Alpha-amylase  [Source:UniProtKB/TrEMBL;Acc:A0A077ZAH3],protein_coding,trtricprjeb535
TTRE5765,TTRE5765_t1,372.0,protein_coding,,His Phos 1 domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z5N7],protein_coding,trtricprjeb535
TTRE4717,TTRE4717_t1,575.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE9280,TTRE9280_t1,338.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11214,TTRE11214_t1,362.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11673,TTRE11673_t1,312.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7834,TTRE7834_t1,301.0,protein_coding,,Mitogen-activated protein kinase  [Source:UniProtKB/TrEMBL;Acc:A0A077ZB67],protein_coding,trtricprjeb535
TTRE10631,TTRE10631_t1,255.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2602,TTRE2602_t1,155.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4505,TTRE4505_t1,265.0,protein_coding,,AP 2 complex subunit mu  [Source:UniProtKB/TrEMBL;Acc:A0A077Z7L0],protein_coding,trtricprjeb535
TTRE8714,TTRE8714_t1,848.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE9478,TTRE9478_t1,488.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5951,TTRE5951_t1,186.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6522,TTRE6522_t1,174.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE975,TTRE975_t1,791.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE12671,TTRE12671_t1,302.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE457,TTRE457_t1,167.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6933,TTRE6933_t1,2092.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6615,TTRE6615_t1,510.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5298,TTRE5298_t1,503.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8426,TTRE8426_t1,720.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10746,TTRE10746_t1,404.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8505,TTRE8505_t1,533.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE331,TTRE331_t1,383.0,protein_coding,,AAA domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z4X4],protein_coding,trtricprjeb535
TTRE3620,TTRE3620_t1,223.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11649,TTRE11649_t1,147.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5495,TTRE5495_t1,1450.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE7718,TTRE7718_t1,491.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE743,TTRE743_t1,335.0,protein_coding,,Secreted frizzled protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z291],protein_coding,trtricprjeb535
TTRE9581,TTRE9581_t1,455.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10211,TTRE10211_t1,2114.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11129,TTRE11129_t1,785.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8331,TTRE8331_t1,400.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE3671,TTRE3671_t1,356.0,protein_coding,,Replication factor C subunit 1  [Source:UniProtKB/TrEMBL;Acc:A0A077ZFU2],protein_coding,trtricprjeb535
TTRE101,TTRE101_t1,178.0,protein_coding,,palmitoyl-protein hydrolase  [Source:UniProtKB/TrEMBL;Acc:A0A077YZG1],protein_coding,trtricprjeb535
TTRE2875,TTRE2875_t1,450.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6937,TTRE6937_t1,548.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE624,TTRE624_t1,348.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8169,TTRE8169_t1,144.0,protein_coding,,asparagine--tRNA ligase  [Source:UniProtKB/TrEMBL;Acc:A0A077Z8G3],protein_coding,trtricprjeb535
TTRE11075,TTRE11075_t1,806.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6672,TTRE6672_t1,669.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10280,TTRE10280_t1,362.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10614,TTRE10614_t1,335.0,protein_coding,,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1  [Source:UniProtKB/TrEMBL;Acc:A0A077Z740],protein_coding,trtricprjeb535
TTRE11006,TTRE11006_t1,566.0,protein_coding,,LisH domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZJJ5],protein_coding,trtricprjeb535
TTRE10939,TTRE10939_t1,995.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6102,TTRE6102_t1,344.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8936,TTRE8936_t1,334.0,protein_coding,,Zinc metalloproteinase nas 13  [Source:UniProtKB/TrEMBL;Acc:A0A077YYS1],protein_coding,trtricprjeb535
TTRE4052,TTRE4052_t1,214.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE5012,TTRE5012_t1,409.0,protein_coding,,Lysine--tRNA ligase  [Source:UniProtKB/TrEMBL;Acc:A0A077Z2Z4],protein_coding,trtricprjeb535
TTRE1611,TTRE1611_t1,475.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE9663,TTRE9663_t1,209.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE285,TTRE285_t1,1343.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4981,TTRE4981_t1,575.0,protein_coding,,ADP dependent glucokinase  [Source:UniProtKB/TrEMBL;Acc:A0A077Z9F1],protein_coding,trtricprjeb535
TTRE223,TTRE223_t1,204.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE1700,TTRE1700_t1,364.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4784,TTRE4784_t1,659.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE818,TTRE818_t1,303.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE605,TTRE605_t1,356.0,protein_coding,,DNA binding protein inhibitor ID 3  [Source:UniProtKB/TrEMBL;Acc:A0A077Z9Y7],protein_coding,trtricprjeb535
TTRE11731,TTRE11731_t1,194.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE12546,TTRE12546_t1,335.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE9023,TTRE9023_t1,557.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE2183,TTRE2183_t1,368.0,protein_coding,,DUF5655 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZEF1],protein_coding,trtricprjeb535
TTRE502,TTRE502_t1,729.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10126,TTRE10126_t1,1500.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8986,TTRE8986_t1,142.0,protein_coding,,Mitochondrial import receptor subunit TOM20  [Source:UniProtKB/TrEMBL;Acc:A0A077Z9J6],protein_coding,trtricprjeb535
TTRE1234,TTRE1234_t1,249.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6249,TTRE6249_t1,101.0,protein_coding,,"ATP synthase subunit e, mitochondrial  [Source:UniProtKB/TrEMBL;Acc:A0A077Z715]",protein_coding,trtricprjeb535
TTRE9610,TTRE9610_t1,5129.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11028,TTRE11028_t1,986.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4231,TTRE4231_t1,947.0,protein_coding,,Reverse transcriptase  [Source:UniProtKB/TrEMBL;Acc:A0A077Z6E6],protein_coding,trtricprjeb535
TTRE10429,TTRE10429_t1,458.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8632,TTRE8632_t1,623.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11254,TTRE11254_t1,228.0,protein_coding,,CTD nuclear envelope phosphatase 1  [Source:UniProtKB/TrEMBL;Acc:A0A077ZD83],protein_coding,trtricprjeb535
TTRE1927,TTRE1927_t1,139.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE6629,TTRE6629_t1,4136.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10855,TTRE10855_t1,229.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8719,TTRE8719_t1,203.0,protein_coding,,Abf2p  [Source:UniProtKB/TrEMBL;Acc:A0A077ZD51],protein_coding,trtricprjeb535
TTRE1620,TTRE1620_t1,335.0,protein_coding,,"RNA binding motif, single stranded interacting  [Source:UniProtKB/TrEMBL;Acc:A0A077ZL20]",protein_coding,trtricprjeb535
TTRE8408,TTRE8408_t1,141.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE3213,TTRE3213_t1,701.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10657,TTRE10657_t1,133.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4701,TTRE4701_t1,286.0,protein_coding,,G protein signaling modulator 1  [Source:UniProtKB/TrEMBL;Acc:A0A077Z024],protein_coding,trtricprjeb535
TTRE2021,TTRE2021_t1,692.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE8214,TTRE8214_t1,253.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE1475,TTRE1475_t1,215.0,protein_coding,,Lectin C domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z0K5],protein_coding,trtricprjeb535
TTRE5501,TTRE5501_t1,1136.0,protein_coding,,DUF3800 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZMX7],protein_coding,trtricprjeb535
TTRE11055,TTRE11055_t1,824.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE10348,TTRE10348_t1,835.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE11699,TTRE11699_t1,363.0,protein_coding,,,protein_coding,trtricprjeb535
TTRE4653,TTRE4653_t1,196.0,protein_coding,,,protein_coding,trtricprjeb535
