Genome project,Gene stable ID,Transcript stable ID,Protein stable ID,Human gene stable ID,Human gene name,Human protein stable ID,Caenorhabditis elegans (PRJNA13758) [WS290] gene stable ID,Caenorhabditis elegans (PRJNA13758) [WS290] gene name,Caenorhabditis elegans (PRJNA13758) [WS290] protein stable ID
wuchereria_bancrofti_prjna275548,Wban_02589,mrna-Wban_02589,mrna-Wban_02589,,,,WBGene00010970,glb-20,R01E6.6.1
wuchereria_bancrofti_prjna275548,Wban_02593,mrna-Wban_02593,mrna-Wban_02593,,,,WBGene00020143,T01C8.2,T01C8.2.1
wuchereria_bancrofti_prjna275548,Wban_02593,mrna-Wban_02593,mrna-Wban_02593,,,,WBGene00011223,R10H10.4,R10H10.4.1
wuchereria_bancrofti_prjna275548,Wban_02597,mrna-Wban_02597,mrna-Wban_02597,,,,WBGene00008924,F17E5.2,F17E5.2.2
wuchereria_bancrofti_prjna275548,Wban_02597,mrna-Wban_02597,mrna-Wban_02597,,,,WBGene00010077,F55A11.4,F55A11.4a.3
wuchereria_bancrofti_prjna275548,Wban_02608,mrna-Wban_02608,mrna-Wban_02608,,,,WBGene00044743,crb-3,C35B8.4.2
wuchereria_bancrofti_prjna275548,Wban_02628,mrna-Wban_02628,mrna-Wban_02628,,,,WBGene00045269,F46G11.6,F46G11.6.1
wuchereria_bancrofti_prjna275548,Wban_02635,mrna-Wban_02635,mrna-Wban_02635,,,,WBGene00004419,rpl-7A,Y24D9A.4.1
wuchereria_bancrofti_prjna275548,Wban_02651,mrna-Wban_02651,mrna-Wban_02651,,,,WBGene00001555,gcy-35,T04D3.4a.1
wuchereria_bancrofti_prjna275548,Wban_02652,mrna-Wban_02652,mrna-Wban_02652,,,,WBGene00008940,F18H3.4,F18H3.4.1
wuchereria_bancrofti_prjna275548,Wban_02660,mrna-Wban_02660,mrna-Wban_02660,,,,WBGene00020742,T23H2.3,T23H2.3.1
wuchereria_bancrofti_prjna275548,Wban_02660,mrna-Wban_02660,mrna-Wban_02660,,,,WBGene00010061,F54E12.2,F54E12.2.2
wuchereria_bancrofti_prjna275548,Wban_02669,mrna-Wban_02669,mrna-Wban_02669,,,,WBGene00007185,nlp-36,B0464.3.1
wuchereria_bancrofti_prjna275548,Wban_02669,mrna-Wban_02669,mrna-Wban_02669,,,,WBGene00016033,C24A3.2,C24A3.2a.2
wuchereria_bancrofti_prjna275548,Wban_02677,mrna-Wban_02677,mrna-Wban_02677,,,,WBGene00004004,pgp-10,C54D1.1.1
wuchereria_bancrofti_prjna275548,Wban_02684,mrna-Wban_02684,mrna-Wban_02684,,,,WBGene00003011,lin-25,F56H9.5.1
wuchereria_bancrofti_prjna275548,Wban_02687,mrna-Wban_02687,mrna-Wban_02687,,,,WBGene00044132,C23H4.8,C23H4.8.1
wuchereria_bancrofti_prjna275548,Wban_02691,mrna-Wban_02691,mrna-Wban_02691,,,,WBGene00006863,gyg-1,F56B6.4a.1
wuchereria_bancrofti_prjna275548,Wban_02693,mrna-Wban_02693,mrna-Wban_02693,,,,WBGene00016641,C44C1.1,C44C1.1.1
wuchereria_bancrofti_prjna275548,Wban_02695,mrna-Wban_02695,mrna-Wban_02695,,,,WBGene00003991,pfn-3,K03E6.6.1
wuchereria_bancrofti_prjna275548,Wban_02702,mrna-Wban_02702,mrna-Wban_02702,,,,WBGene00004219,ptr-4,C45B2.7.1
wuchereria_bancrofti_prjna275548,Wban_02726,mrna-Wban_02726,mrna-Wban_02726,,,,WBGene00019764,M03F8.5,M03F8.5.1
wuchereria_bancrofti_prjna275548,Wban_02726,mrna-Wban_02726,mrna-Wban_02726,,,,WBGene00017194,F07C3.3,F07C3.3.1
wuchereria_bancrofti_prjna275548,Wban_02732,mrna-Wban_02732,mrna-Wban_02732,,,,WBGene00018610,F48E8.3,F48E8.3.1
wuchereria_bancrofti_prjna275548,Wban_02740,mrna-Wban_02740,mrna-Wban_02740,,,,WBGene00018878,glit-1,F55D10.3.1
wuchereria_bancrofti_prjna275548,Wban_02754,mrna-Wban_02754,mrna-Wban_02754,,,,WBGene00003901,paa-1,F48E8.5.1
wuchereria_bancrofti_prjna275548,Wban_02755,mrna-Wban_02755,mrna-Wban_02755,,,,WBGene00015954,C18B2.3,C18B2.3.1
wuchereria_bancrofti_prjna275548,Wban_02761,mrna-Wban_02761,mrna-Wban_02761,,,,WBGene00015547,ain-1,C06G1.4.1
wuchereria_bancrofti_prjna275548,Wban_02775,mrna-Wban_02775,mrna-Wban_02775,,,,WBGene00018373,F43B10.1,F43B10.1d.1
wuchereria_bancrofti_prjna275548,Wban_02780,mrna-Wban_02780,mrna-Wban_02780,,,,WBGene00006672,twk-18,C24A3.6.1
wuchereria_bancrofti_prjna275548,Wban_02785,mrna-Wban_02785,mrna-Wban_02785,,,,WBGene00219375,C02B8.12,C02B8.12.1
wuchereria_bancrofti_prjna275548,Wban_02830,mrna-Wban_02830,mrna-Wban_02830,,,,WBGene00019148,H03E18.1,H03E18.1.1
wuchereria_bancrofti_prjna275548,Wban_02841,mrna-Wban_02841,mrna-Wban_02841,,,,WBGene00010035,F54C8.1,F54C8.1.1
wuchereria_bancrofti_prjna275548,Wban_02841,mrna-Wban_02841,mrna-Wban_02841,,,,WBGene00007129,B0272.3,B0272.3.1
wuchereria_bancrofti_prjna275548,Wban_02843,mrna-Wban_02843,mrna-Wban_02843,,,,WBGene00017758,F23H11.2,F23H11.2.1
wuchereria_bancrofti_prjna275548,Wban_02847,mrna-Wban_02847,mrna-Wban_02847,,,,WBGene00007733,smz-1,C25G4.6.1
wuchereria_bancrofti_prjna275548,Wban_02847,mrna-Wban_02847,mrna-Wban_02847,,,,WBGene00020661,smz-2,T21G5.4.1
wuchereria_bancrofti_prjna275548,Wban_02852,mrna-Wban_02852,mrna-Wban_02852,,,,WBGene00020083,R57.2,R57.2.1
wuchereria_bancrofti_prjna275548,Wban_02853,mrna-Wban_02853,mrna-Wban_02853,,,,WBGene00004220,ptr-5,C53C11.3.1
wuchereria_bancrofti_prjna275548,Wban_02870,mrna-Wban_02870,mrna-Wban_02870,,,,WBGene00019519,K08B5.2,K08B5.2.1
wuchereria_bancrofti_prjna275548,Wban_02885,mrna-Wban_02885,mrna-Wban_02885,,,,WBGene00002280,let-2,F01G12.5b.1
wuchereria_bancrofti_prjna275548,Wban_02886,mrna-Wban_02886,mrna-Wban_02886,,,,WBGene00000035,ace-1,W09B12.1.1
wuchereria_bancrofti_prjna275548,Wban_02887,mrna-Wban_02887,mrna-Wban_02887,,,,WBGene00018417,F44E2.3,F44E2.3.1
wuchereria_bancrofti_prjna275548,Wban_02893,mrna-Wban_02893,mrna-Wban_02893,,,,WBGene00008089,C44C10.9,C44C10.9b.1
wuchereria_bancrofti_prjna275548,Wban_02898,mrna-Wban_02898,mrna-Wban_02898,,,,WBGene00007903,lgc-21,C33G3.3.1
wuchereria_bancrofti_prjna275548,Wban_02917,mrna-Wban_02917,mrna-Wban_02917,,,,WBGene00009882,vha-17,F49C12.13.1
wuchereria_bancrofti_prjna275548,Wban_02918,mrna-Wban_02918,mrna-Wban_02918,,,,WBGene00009881,F49C12.12,F49C12.12a.1
wuchereria_bancrofti_prjna275548,Wban_02922,mrna-Wban_02922,mrna-Wban_02922,,,,WBGene00004193,prx-3,C15H9.8a.1
wuchereria_bancrofti_prjna275548,Wban_02936,mrna-Wban_02936,mrna-Wban_02936,,,,WBGene00003553,nas-37,C17G1.6a.1
wuchereria_bancrofti_prjna275548,Wban_02957,mrna-Wban_02957,mrna-Wban_02957,,,,WBGene00016558,pks-1,C41A3.1a.1
wuchereria_bancrofti_prjna275548,Wban_02958,mrna-Wban_02958,mrna-Wban_02958,,,,WBGene00019520,K08B12.1,K08B12.1.1
wuchereria_bancrofti_prjna275548,Wban_02963,mrna-Wban_02963,mrna-Wban_02963,,,,WBGene00021373,Y37E11AR.7,Y37E11AR.7.1
wuchereria_bancrofti_prjna275548,Wban_02972,mrna-Wban_02972,mrna-Wban_02972,,,,WBGene00000743,col-170,T10E10.6.1
wuchereria_bancrofti_prjna275548,Wban_02972,mrna-Wban_02972,mrna-Wban_02972,,,,WBGene00000740,col-167,T10E10.2.1
wuchereria_bancrofti_prjna275548,Wban_02972,mrna-Wban_02972,mrna-Wban_02972,,,,WBGene00000741,col-168,T10E10.1.1
wuchereria_bancrofti_prjna275548,Wban_02972,mrna-Wban_02972,mrna-Wban_02972,,,,WBGene00000744,col-171,T10E10.7.1
wuchereria_bancrofti_prjna275548,Wban_02972,mrna-Wban_02972,mrna-Wban_02972,,,,WBGene00000753,col-180,C44C10.1.1
wuchereria_bancrofti_prjna275548,Wban_02972,mrna-Wban_02972,mrna-Wban_02972,,,,WBGene00000742,col-169,T10E10.5.1
wuchereria_bancrofti_prjna275548,Wban_02972,mrna-Wban_02972,mrna-Wban_02972,,,,WBGene00000739,col-166,T07H6.3.1
wuchereria_bancrofti_prjna275548,Wban_02975,mrna-Wban_02975,mrna-Wban_02975,,,,WBGene00001971,hmg-1.1,Y48B6A.14.1
wuchereria_bancrofti_prjna275548,Wban_02985,mrna-Wban_02985,mrna-Wban_02985,,,,WBGene00019188,H11E01.3,H11E01.3d.1
wuchereria_bancrofti_prjna275548,Wban_02991,mrna-Wban_02991,mrna-Wban_02991,,,,WBGene00019004,xpg-1,F57B10.6.1
wuchereria_bancrofti_prjna275548,Wban_02993,mrna-Wban_02993,mrna-Wban_02993,,,,WBGene00017770,F25B4.7,F25B4.7.1
wuchereria_bancrofti_prjna275548,Wban_03008,mrna-Wban_03008,mrna-Wban_03008,,,,WBGene00015122,B0302.5,B0302.5.1
wuchereria_bancrofti_prjna275548,Wban_03009,mrna-Wban_03009,mrna-Wban_03009,,,,WBGene00008423,D2045.5,D2045.5.1
wuchereria_bancrofti_prjna275548,Wban_03009,mrna-Wban_03009,mrna-Wban_03009,,,,WBGene00021639,Y47G6A.13,Y47G6A.13.1
wuchereria_bancrofti_prjna275548,Wban_03011,mrna-Wban_03011,mrna-Wban_03011,,,,WBGene00007305,ttbk-5,C04G2.2.1
wuchereria_bancrofti_prjna275548,Wban_03023,mrna-Wban_03023,mrna-Wban_03023,,,,WBGene00001069,dpy-7,F46C8.6.1
wuchereria_bancrofti_prjna275548,Wban_03033,mrna-Wban_03033,mrna-Wban_03033,,,,WBGene00000908,daf-12,F11A1.3a.1
wuchereria_bancrofti_prjna275548,Wban_03035,mrna-Wban_03035,mrna-Wban_03035,,,,WBGene00004245,puf-9,W06B11.2.1
wuchereria_bancrofti_prjna275548,Wban_03038,mrna-Wban_03038,mrna-Wban_03038,,,,WBGene00003883,osm-1,T27B1.1.1
wuchereria_bancrofti_prjna275548,Wban_03061,mrna-Wban_03061,mrna-Wban_03061,,,,WBGene00015523,ztf-30,C06E1.8.1
wuchereria_bancrofti_prjna275548,Wban_03065,mrna-Wban_03065,mrna-Wban_03065,,,,WBGene00000097,aip-1,F58E10.4.1
wuchereria_bancrofti_prjna275548,Wban_03071,mrna-Wban_03071,mrna-Wban_03071,,,,WBGene00007622,C16C10.1,C16C10.1.1
wuchereria_bancrofti_prjna275548,Wban_03075,mrna-Wban_03075,mrna-Wban_03075,,,,WBGene00022786,ZK652.8,ZK652.8.1
wuchereria_bancrofti_prjna275548,Wban_03080,mrna-Wban_03080,mrna-Wban_03080,,,,WBGene00018151,ndab-2,F37C12.3.1
wuchereria_bancrofti_prjna275548,Wban_03081,mrna-Wban_03081,mrna-Wban_03081,,,,WBGene00017163,dnpp-1,F01F1.9a.1
wuchereria_bancrofti_prjna275548,Wban_03084,mrna-Wban_03084,mrna-Wban_03084,,,,WBGene00009159,F26E4.4,F26E4.4.1
wuchereria_bancrofti_prjna275548,Wban_03090,mrna-Wban_03090,mrna-Wban_03090,,,,WBGene00012759,sup-1,Y41C4A.13.1
wuchereria_bancrofti_prjna275548,Wban_03096,mrna-Wban_03096,mrna-Wban_03096,,,,WBGene00000802,crt-1,Y38A10A.5.1
wuchereria_bancrofti_prjna275548,Wban_03108,mrna-Wban_03108,mrna-Wban_03108,,,,WBGene00003837,oat-1,T01B11.7.1
wuchereria_bancrofti_prjna275548,Wban_03108,mrna-Wban_03108,mrna-Wban_03108,,,,WBGene00006220,str-176,T01B11.5a.1
wuchereria_bancrofti_prjna275548,Wban_03109,mrna-Wban_03109,mrna-Wban_03109,,,,WBGene00006784,unc-49,T21C12.1e.1
wuchereria_bancrofti_prjna275548,Wban_03118,mrna-Wban_03118,mrna-Wban_03118,,,,WBGene00001905,his-31,F17E9.12.1
wuchereria_bancrofti_prjna275548,Wban_03118,mrna-Wban_03118,mrna-Wban_03118,,,,WBGene00001934,his-60,F55G1.11.1
wuchereria_bancrofti_prjna275548,Wban_03118,mrna-Wban_03118,mrna-Wban_03118,,,,WBGene00001912,his-38,K03A1.6.1
wuchereria_bancrofti_prjna275548,Wban_03118,mrna-Wban_03118,mrna-Wban_03118,,,,WBGene00001920,his-46,B0035.9.1
wuchereria_bancrofti_prjna275548,Wban_03118,mrna-Wban_03118,mrna-Wban_03118,,,,WBGene00001911,his-37,C50F4.7.1
wuchereria_bancrofti_prjna275548,Wban_03118,mrna-Wban_03118,mrna-Wban_03118,,,,WBGene00001879,his-5,F45F2.3.1
wuchereria_bancrofti_prjna275548,Wban_03118,mrna-Wban_03118,mrna-Wban_03118,,,,WBGene00001924,his-50,F07B7.9.1
wuchereria_bancrofti_prjna275548,Wban_03118,mrna-Wban_03118,mrna-Wban_03118,,,,WBGene00001892,his-18,K06C4.10.1
wuchereria_bancrofti_prjna275548,Wban_03125,mrna-Wban_03125,mrna-Wban_03125,,,,WBGene00012943,bed-2,Y47D3B.9a.1
wuchereria_bancrofti_prjna275548,Wban_03161,mrna-Wban_03161,mrna-Wban_03161,,,,WBGene00021917,Y55D5A.3,Y55D5A.3.1
wuchereria_bancrofti_prjna275548,Wban_03163,mrna-Wban_03163,mrna-Wban_03163,,,,WBGene00022817,upp-1,ZK783.2.1
wuchereria_bancrofti_prjna275548,Wban_03165,mrna-Wban_03165,mrna-Wban_03165,,,,WBGene00016445,C35D10.8,C35D10.8.1
wuchereria_bancrofti_prjna275548,Wban_03166,mrna-Wban_03166,mrna-Wban_03166,,,,WBGene00017160,F01F1.3,F01F1.3.1
wuchereria_bancrofti_prjna275548,Wban_03169,mrna-Wban_03169,mrna-Wban_03169,,,,WBGene00012662,Y39A1C.1,Y39A1C.1.2
wuchereria_bancrofti_prjna275548,Wban_03185,mrna-Wban_03185,mrna-Wban_03185,,,,WBGene00014181,ZK1010.8,ZK1010.8.2
wuchereria_bancrofti_prjna275548,Wban_03186,mrna-Wban_03186,mrna-Wban_03186,,,,WBGene00000650,col-74,ZK1248.2.1
wuchereria_bancrofti_prjna275548,Wban_03188,mrna-Wban_03188,mrna-Wban_03188,,,,WBGene00022199,pfk-1.1,Y71H10A.1a.1
wuchereria_bancrofti_prjna275548,Wban_03194,mrna-Wban_03194,mrna-Wban_03194,,,,WBGene00009594,cyld-1,F40F12.5a.1
wuchereria_bancrofti_prjna275548,Wban_03206,mrna-Wban_03206,mrna-Wban_03206,,,,WBGene00013465,Y67H2A.10,Y67H2A.10a.1
wuchereria_bancrofti_prjna275548,Wban_03219,mrna-Wban_03219,mrna-Wban_03219,,,,WBGene00007011,mdt-1.2,T23C6.1.1
wuchereria_bancrofti_prjna275548,Wban_03219,mrna-Wban_03219,mrna-Wban_03219,,,,WBGene00004946,sop-3,Y71F9B.10c.1
wuchereria_bancrofti_prjna275548,Wban_03225,mrna-Wban_03225,mrna-Wban_03225,,,,WBGene00020779,T24G10.2,T24G10.2.1
wuchereria_bancrofti_prjna275548,Wban_03225,mrna-Wban_03225,mrna-Wban_03225,,,,WBGene00010523,K03B8.4,K03B8.4.1
wuchereria_bancrofti_prjna275548,Wban_03232,mrna-Wban_03232,mrna-Wban_03232,,,,WBGene00007030,epc-1,Y111B2A.11.1
wuchereria_bancrofti_prjna275548,Wban_03238,mrna-Wban_03238,mrna-Wban_03238,,,,WBGene00004283,rab-33,F43D9.2.1
wuchereria_bancrofti_prjna275548,Wban_03241,mrna-Wban_03241,mrna-Wban_03241,,,,WBGene00017389,lgc-38,F11H8.2b.1
wuchereria_bancrofti_prjna275548,Wban_03247,mrna-Wban_03247,mrna-Wban_03247,,,,WBGene00010073,F54F12.2,F54F12.2a.1
wuchereria_bancrofti_prjna275548,Wban_03249,mrna-Wban_03249,mrna-Wban_03249,,,,WBGene00018694,F52E1.5,F52E1.5.1
wuchereria_bancrofti_prjna275548,Wban_03249,mrna-Wban_03249,mrna-Wban_03249,,,,WBGene00011063,cpg-3,R06C7.4.2
wuchereria_bancrofti_prjna275548,Wban_03249,mrna-Wban_03249,mrna-Wban_03249,,,,WBGene00021898,Y54G2A.36,Y54G2A.36.5
wuchereria_bancrofti_prjna275548,Wban_03260,mrna-Wban_03260,mrna-Wban_03260,,,,WBGene00004225,ptr-11,F56C11.2a.2
wuchereria_bancrofti_prjna275548,Wban_03263,mrna-Wban_03263,mrna-Wban_03263,,,,WBGene00000672,col-97,ZK1010.7.1
wuchereria_bancrofti_prjna275548,Wban_03266,mrna-Wban_03266,mrna-Wban_03266,,,,WBGene00021396,cutl-24,Y38C1AA.5b.1
wuchereria_bancrofti_prjna275548,Wban_03272,mrna-Wban_03272,mrna-Wban_03272,,,,WBGene00003526,nas-7,C07D10.4.1
wuchereria_bancrofti_prjna275548,Wban_03286,mrna-Wban_03286,mrna-Wban_03286,,,,WBGene00003520,nas-1,F45G2.1.1
wuchereria_bancrofti_prjna275548,Wban_03289,mrna-Wban_03289,mrna-Wban_03289,,,,WBGene00001945,his-71,F45E1.6.1
wuchereria_bancrofti_prjna275548,Wban_03307,mrna-Wban_03307,mrna-Wban_03307,,,,WBGene00010436,JC8.4,JC8.4.1
wuchereria_bancrofti_prjna275548,Wban_03314,mrna-Wban_03314,mrna-Wban_03314,,,,WBGene00001063,dpy-1,M01E10.2a.1
wuchereria_bancrofti_prjna275548,Wban_03323,mrna-Wban_03323,mrna-Wban_03323,,,,WBGene00004213,ptp-1,C48D5.2a.1
wuchereria_bancrofti_prjna275548,Wban_03326,mrna-Wban_03326,mrna-Wban_03326,,,,WBGene00003523,nas-4,C05D11.6b.1
wuchereria_bancrofti_prjna275548,Wban_03350,mrna-Wban_03350,mrna-Wban_03350,,,,WBGene00000479,cgh-1,C07H6.5.1
wuchereria_bancrofti_prjna275548,Wban_03368,mrna-Wban_03368,mrna-Wban_03368,,,,WBGene00011730,drr-2,T12D8.2.1
wuchereria_bancrofti_prjna275548,Wban_03369,mrna-Wban_03369,mrna-Wban_03369,,,,WBGene00007981,glb-11,C36E8.2.1
wuchereria_bancrofti_prjna275548,Wban_03370,mrna-Wban_03370,mrna-Wban_03370,,,,WBGene00044311,K04C2.7,K04C2.7.1
wuchereria_bancrofti_prjna275548,Wban_03371,mrna-Wban_03371,mrna-Wban_03371,,,,WBGene00020106,R151.1,R151.1a.1
wuchereria_bancrofti_prjna275548,Wban_03376,mrna-Wban_03376,mrna-Wban_03376,,,,WBGene00017356,F10E9.4,F10E9.4.1
wuchereria_bancrofti_prjna275548,Wban_03388,mrna-Wban_03388,mrna-Wban_03388,,,,WBGene00021919,cutl-25,Y55D5A.6.1
wuchereria_bancrofti_prjna275548,Wban_03405,mrna-Wban_03405,mrna-Wban_03405,,,,WBGene00020605,lgc-50,T20B12.9.1
wuchereria_bancrofti_prjna275548,Wban_03407,mrna-Wban_03407,mrna-Wban_03407,,,,WBGene00003969,pef-1,F23H11.8a.1
wuchereria_bancrofti_prjna275548,Wban_03416,mrna-Wban_03416,mrna-Wban_03416,,,,WBGene00001724,grl-15,Y75B8A.20.1
wuchereria_bancrofti_prjna275548,Wban_03424,mrna-Wban_03424,mrna-Wban_03424,,,,WBGene00002324,let-49,Y54E5B.3a.1
wuchereria_bancrofti_prjna275548,Wban_03427,mrna-Wban_03427,mrna-Wban_03427,,,,WBGene00021345,Y37B11A.3,Y37B11A.3.2
wuchereria_bancrofti_prjna275548,Wban_03427,mrna-Wban_03427,mrna-Wban_03427,,,,WBGene00010780,K11H3.3,K11H3.3.1
wuchereria_bancrofti_prjna275548,Wban_03428,mrna-Wban_03428,mrna-Wban_03428,,,,WBGene00007679,C18D11.1,C18D11.1.1
wuchereria_bancrofti_prjna275548,Wban_03429,mrna-Wban_03429,mrna-Wban_03429,,,,WBGene00019951,R08C7.8,R08C7.8.1
wuchereria_bancrofti_prjna275548,Wban_03429,mrna-Wban_03429,mrna-Wban_03429,,,,WBGene00011133,R08A2.2,R08A2.2.1
wuchereria_bancrofti_prjna275548,Wban_03443,mrna-Wban_03443,mrna-Wban_03443,,,,WBGene00007057,ant-1.2,W02D3.6.1
wuchereria_bancrofti_prjna275548,Wban_03446,mrna-Wban_03446,mrna-Wban_03446,,,,WBGene00000366,cbp-1,R10E11.1b.1
wuchereria_bancrofti_prjna275548,Wban_03449,mrna-Wban_03449,mrna-Wban_03449,,,,WBGene00010772,K11D9.3,K11D9.3.2
wuchereria_bancrofti_prjna275548,Wban_03457,mrna-Wban_03457,mrna-Wban_03457,,,,WBGene00010813,pitp-1,M01F1.7.1
wuchereria_bancrofti_prjna275548,Wban_03462,mrna-Wban_03462,mrna-Wban_03462,,,,WBGene00018418,F44E2.4,F44E2.4.1
wuchereria_bancrofti_prjna275548,Wban_03488,mrna-Wban_03488,mrna-Wban_03488,,,,WBGene00021850,Y54F10AM.6,Y54F10AM.6.2
wuchereria_bancrofti_prjna275548,Wban_03495,mrna-Wban_03495,mrna-Wban_03495,,,,WBGene00012647,swt-4,Y39A1A.8b.1
wuchereria_bancrofti_prjna275548,Wban_03501,mrna-Wban_03501,mrna-Wban_03501,,,,WBGene00001989,hot-4,T12A2.16b.2
wuchereria_bancrofti_prjna275548,Wban_03528,mrna-Wban_03528,mrna-Wban_03528,,,,WBGene00008910,F17C8.3,F17C8.3.1
wuchereria_bancrofti_prjna275548,Wban_03529,mrna-Wban_03529,mrna-Wban_03529,,,,WBGene00002891,let-767,C56G2.6c.1
wuchereria_bancrofti_prjna275548,Wban_03529,mrna-Wban_03529,mrna-Wban_03529,,,,WBGene00007363,stdh-1,C06B3.4.1
wuchereria_bancrofti_prjna275548,Wban_03529,mrna-Wban_03529,mrna-Wban_03529,,,,WBGene00008678,stdh-2,F11A5.12.1
wuchereria_bancrofti_prjna275548,Wban_03529,mrna-Wban_03529,mrna-Wban_03529,,,,WBGene00007364,stdh-3,C06B3.5.1
wuchereria_bancrofti_prjna275548,Wban_03529,mrna-Wban_03529,mrna-Wban_03529,,,,WBGene00006435,stdh-4,F25G6.5b.1
wuchereria_bancrofti_prjna275548,Wban_03533,mrna-Wban_03533,mrna-Wban_03533,,,,WBGene00010546,K03H1.11,K03H1.11.1
wuchereria_bancrofti_prjna275548,Wban_03543,mrna-Wban_03543,mrna-Wban_03543,,,,WBGene00022248,Y73B6BL.27,Y73B6BL.27.1
wuchereria_bancrofti_prjna275548,Wban_03547,mrna-Wban_03547,mrna-Wban_03547,,,,WBGene00012545,Y37D8A.3,Y37D8A.3.1
wuchereria_bancrofti_prjna275548,Wban_03549,mrna-Wban_03549,mrna-Wban_03549,,,,WBGene00011735,hip-1,T12D8.8.2
wuchereria_bancrofti_prjna275548,Wban_03550,mrna-Wban_03550,mrna-Wban_03550,,,,WBGene00011736,T12D8.9,T12D8.9b.1
wuchereria_bancrofti_prjna275548,Wban_03555,mrna-Wban_03555,mrna-Wban_03555,,,,WBGene00012554,Y37D8A.16,Y37D8A.16.1
wuchereria_bancrofti_prjna275548,Wban_03569,mrna-Wban_03569,mrna-Wban_03569,,,,WBGene00018221,F40A3.6,F40A3.6.1
wuchereria_bancrofti_prjna275548,Wban_03577,mrna-Wban_03577,mrna-Wban_03577,,,,WBGene00011119,mpc-1,R07E5.13.1
wuchereria_bancrofti_prjna275548,Wban_03580,mrna-Wban_03580,mrna-Wban_03580,,,,WBGene00010883,M7.7,M7.7.1
wuchereria_bancrofti_prjna275548,Wban_03589,mrna-Wban_03589,mrna-Wban_03589,,,,WBGene00019284,K01A2.10,K01A2.10a.1
wuchereria_bancrofti_prjna275548,Wban_03596,mrna-Wban_03596,mrna-Wban_03596,,,,WBGene00004217,ptr-2,C32E8.8.1
wuchereria_bancrofti_prjna275548,Wban_03602,mrna-Wban_03602,mrna-Wban_03602,,,,WBGene00008871,tag-314,F15H10.4.1
wuchereria_bancrofti_prjna275548,Wban_03604,mrna-Wban_03604,mrna-Wban_03604,,,,WBGene00004239,puf-3,Y45F10A.2.1
wuchereria_bancrofti_prjna275548,Wban_03604,mrna-Wban_03604,mrna-Wban_03604,,,,WBGene00001402,fbf-2,F21H12.5.1
wuchereria_bancrofti_prjna275548,Wban_03604,mrna-Wban_03604,mrna-Wban_03604,,,,WBGene00001401,fbf-1,H12I13.4.1
wuchereria_bancrofti_prjna275548,Wban_03604,mrna-Wban_03604,mrna-Wban_03604,,,,WBGene00022257,puf-11,Y73B6BL.38.1
wuchereria_bancrofti_prjna275548,Wban_03610,mrna-Wban_03610,mrna-Wban_03610,,,,WBGene00013543,Y75B8A.6,Y75B8A.6a.1
wuchereria_bancrofti_prjna275548,Wban_03612,mrna-Wban_03612,mrna-Wban_03612,,,,WBGene00015647,C09F5.1,C09F5.1a.1
wuchereria_bancrofti_prjna275548,Wban_03627,mrna-Wban_03627,mrna-Wban_03627,,,,WBGene00007269,C03C10.2,C03C10.2.1
wuchereria_bancrofti_prjna275548,Wban_03627,mrna-Wban_03627,mrna-Wban_03627,,,,WBGene00020580,T19D12.5,T19D12.5.1
wuchereria_bancrofti_prjna275548,Wban_03640,mrna-Wban_03640,mrna-Wban_03640,,,,WBGene00001487,frk-1,T04B2.2a.1
wuchereria_bancrofti_prjna275548,Wban_03640,mrna-Wban_03640,mrna-Wban_03640,,,,WBGene00020659,T21G5.1,T21G5.1.1
wuchereria_bancrofti_prjna275548,Wban_03641,mrna-Wban_03641,mrna-Wban_03641,,,,WBGene00013337,Y57G11C.48,Y57G11C.48.1
wuchereria_bancrofti_prjna275548,Wban_03658,mrna-Wban_03658,mrna-Wban_03658,,,,WBGene00020560,T19C3.2,T19C3.2.1
wuchereria_bancrofti_prjna275548,Wban_03678,mrna-Wban_03678,mrna-Wban_03678,,,,WBGene00019199,H14E04.2,H14E04.2c.1
wuchereria_bancrofti_prjna275548,Wban_03684,mrna-Wban_03684,mrna-Wban_03684,,,,WBGene00004888,smo-1,K12C11.2.1
wuchereria_bancrofti_prjna275548,Wban_03685,mrna-Wban_03685,mrna-Wban_03685,,,,WBGene00015978,C18F10.7,C18F10.7a.1
wuchereria_bancrofti_prjna275548,Wban_03689,mrna-Wban_03689,mrna-Wban_03689,,,,WBGene00011408,nifk-1,T04A8.6.1
wuchereria_bancrofti_prjna275548,Wban_03705,mrna-Wban_03705,mrna-Wban_03705,,,,WBGene00012125,T28D6.5,T28D6.5f.1
wuchereria_bancrofti_prjna275548,Wban_03709,mrna-Wban_03709,mrna-Wban_03709,,,,WBGene00020163,T02G5.3,T02G5.3.1
wuchereria_bancrofti_prjna275548,Wban_03709,mrna-Wban_03709,mrna-Wban_03709,,,,WBGene00009585,cal-7,F40F9.8.1
wuchereria_bancrofti_prjna275548,Wban_03719,mrna-Wban_03719,mrna-Wban_03719,,,,WBGene00021808,Y53G8AM.8,Y53G8AM.8a.1
wuchereria_bancrofti_prjna275548,Wban_03741,mrna-Wban_03741,mrna-Wban_03741,,,,WBGene00012648,Y39A1A.9,Y39A1A.9.1
wuchereria_bancrofti_prjna275548,Wban_03742,mrna-Wban_03742,mrna-Wban_03742,,,,WBGene00017988,fipp-1,F32D1.9b.1
