Gene stable ID,Genome name,Transcript stable ID,Transcript biotype,Gene description,CDS_max
TTRE10909,Trichuris trichiura (PRJEB535),TTRE10909_t1,protein_coding,,918
TTRE1091,Trichuris trichiura (PRJEB535),TTRE1091_t1,protein_coding,,852
TTRE10910,Trichuris trichiura (PRJEB535),TTRE10910_t1,protein_coding,,450
TTRE10911,Trichuris trichiura (PRJEB535),TTRE10911_t1,protein_coding,,5163
TTRE10912,Trichuris trichiura (PRJEB535),TTRE10912_t1,protein_coding,,1335
TTRE10913,Trichuris trichiura (PRJEB535),TTRE10913_t1,protein_coding,,912
TTRE10914,Trichuris trichiura (PRJEB535),TTRE10914_t1,protein_coding,,951
TTRE10915,Trichuris trichiura (PRJEB535),TTRE10915_t1,protein_coding,,519
TTRE10916,Trichuris trichiura (PRJEB535),TTRE10916_t1,protein_coding,,1431
TTRE10917,Trichuris trichiura (PRJEB535),TTRE10917_t1,protein_coding,,612
TTRE10918,Trichuris trichiura (PRJEB535),TTRE10918_t1,protein_coding,,681
TTRE10919,Trichuris trichiura (PRJEB535),TTRE10919_t1,protein_coding,,3672
TTRE1092,Trichuris trichiura (PRJEB535),TTRE1092_t1,protein_coding,,4908
TTRE10920,Trichuris trichiura (PRJEB535),TTRE10920_t1,protein_coding,,1728
TTRE10921,Trichuris trichiura (PRJEB535),TTRE10921_t1,protein_coding,,624
TTRE10922,Trichuris trichiura (PRJEB535),TTRE10922_t1,protein_coding,,969
TTRE10923,Trichuris trichiura (PRJEB535),TTRE10923_t1,protein_coding,,3915
TTRE10924,Trichuris trichiura (PRJEB535),TTRE10924_t1,protein_coding,,372
TTRE10925,Trichuris trichiura (PRJEB535),TTRE10925_t1,protein_coding,,2379
TTRE10926,Trichuris trichiura (PRJEB535),TTRE10926_t1,protein_coding,,408
TTRE10927,Trichuris trichiura (PRJEB535),TTRE10927_t1,protein_coding,,1305
TTRE10928,Trichuris trichiura (PRJEB535),TTRE10928_t1,protein_coding,,393
TTRE10929,Trichuris trichiura (PRJEB535),TTRE10929_t1,protein_coding,NAD binding 1 domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZJE1],501
TTRE1093,Trichuris trichiura (PRJEB535),TTRE1093_t2,protein_coding,,1944
TTRE10930,Trichuris trichiura (PRJEB535),TTRE10930_t1,protein_coding,,831
TTRE10931,Trichuris trichiura (PRJEB535),TTRE10931_t1,protein_coding,,1479
TTRE10932,Trichuris trichiura (PRJEB535),TTRE10932_t1,protein_coding,,771
TTRE10933,Trichuris trichiura (PRJEB535),TTRE10933_t1,protein_coding,,762
TTRE10934,Trichuris trichiura (PRJEB535),TTRE10934_t1,protein_coding,,1233
TTRE10935,Trichuris trichiura (PRJEB535),TTRE10935_t1,protein_coding,,1011
TTRE10936,Trichuris trichiura (PRJEB535),TTRE10936_t1,protein_coding,,639
TTRE10937,Trichuris trichiura (PRJEB535),TTRE10937_t1,protein_coding,,1017
TTRE10938,Trichuris trichiura (PRJEB535),TTRE10938_t1,protein_coding,,284
TTRE10939,Trichuris trichiura (PRJEB535),TTRE10939_t1,protein_coding,,996
TTRE1094,Trichuris trichiura (PRJEB535),TTRE1094_t1,protein_coding,,2565
TTRE10940,Trichuris trichiura (PRJEB535),TTRE10940_t1,protein_coding,,4473
TTRE10941,Trichuris trichiura (PRJEB535),TTRE10941_t1,protein_coding,,258
TTRE10942,Trichuris trichiura (PRJEB535),TTRE10942_t1,protein_coding,,1587
TTRE10943,Trichuris trichiura (PRJEB535),TTRE10943_t1,protein_coding,,273
TTRE10944,Trichuris trichiura (PRJEB535),TTRE10944_t1,protein_coding,,222
TTRE10945,Trichuris trichiura (PRJEB535),TTRE10945_t1,protein_coding,,1113
TTRE10946,Trichuris trichiura (PRJEB535),TTRE10946_t1,protein_coding,,330
TTRE10947,Trichuris trichiura (PRJEB535),TTRE10947_t1,protein_coding,,735
TTRE10949,Trichuris trichiura (PRJEB535),TTRE10949_t1,protein_coding,,741
TTRE1095,Trichuris trichiura (PRJEB535),TTRE1095_t1,protein_coding,,1149
TTRE10950,Trichuris trichiura (PRJEB535),TTRE10950_t1,protein_coding,,720
TTRE10951,Trichuris trichiura (PRJEB535),TTRE10951_t1,protein_coding,,240
TTRE10952,Trichuris trichiura (PRJEB535),TTRE10952_t1,protein_coding,,1074
TTRE10953,Trichuris trichiura (PRJEB535),TTRE10953_t1,protein_coding,,261
TTRE10954,Trichuris trichiura (PRJEB535),TTRE10954_t1,protein_coding,,4002
TTRE10955,Trichuris trichiura (PRJEB535),TTRE10955_t1,protein_coding,,1043
TTRE10956,Trichuris trichiura (PRJEB535),TTRE10956_t1,protein_coding,,3843
TTRE10957,Trichuris trichiura (PRJEB535),TTRE10957_t1,protein_coding,,3474
TTRE10958,Trichuris trichiura (PRJEB535),TTRE10958_t1,protein_coding,,1176
TTRE10959,Trichuris trichiura (PRJEB535),TTRE10959_t1,protein_coding,,588
TTRE1096,Trichuris trichiura (PRJEB535),TTRE1096_t1,protein_coding,,1017
TTRE10960,Trichuris trichiura (PRJEB535),TTRE10960_t1,protein_coding,,1170
TTRE10961,Trichuris trichiura (PRJEB535),TTRE10961_t1,protein_coding,,459
TTRE10962,Trichuris trichiura (PRJEB535),TTRE10962_t1,protein_coding,,1170
TTRE10963,Trichuris trichiura (PRJEB535),TTRE10963_t1,protein_coding,,1005
TTRE10964,Trichuris trichiura (PRJEB535),TTRE10964_t1,protein_coding,,516
TTRE10965,Trichuris trichiura (PRJEB535),TTRE10965_t1,protein_coding,,1197
TTRE10966,Trichuris trichiura (PRJEB535),TTRE10966_t1,protein_coding,,228
TTRE10967,Trichuris trichiura (PRJEB535),TTRE10967_t1,protein_coding,,357
TTRE10968,Trichuris trichiura (PRJEB535),TTRE10968_t1,protein_coding,,336
TTRE10969,Trichuris trichiura (PRJEB535),TTRE10969_t1,protein_coding,DUF4773 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YXM5],327
TTRE1097,Trichuris trichiura (PRJEB535),TTRE1097_t1,protein_coding,Ubiquitin-fold modifier-conjugating enzyme 1  [Source:UniProtKB/TrEMBL;Acc:A0A077Z574],489
TTRE10970,Trichuris trichiura (PRJEB535),TTRE10970_t1,protein_coding,Oxidoreductase-like domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YYG7],300
TTRE10971,Trichuris trichiura (PRJEB535),TTRE10971_t1,protein_coding,Deoxycytidylate deaminase  [Source:UniProtKB/TrEMBL;Acc:A0A077Z2D5],525
TTRE10972,Trichuris trichiura (PRJEB535),TTRE10972_t1,protein_coding,,633
TTRE10973,Trichuris trichiura (PRJEB535),TTRE10973_t1,protein_coding,,402
TTRE10974,Trichuris trichiura (PRJEB535),TTRE10974_t1,protein_coding,,411
TTRE10975,Trichuris trichiura (PRJEB535),TTRE10975_t1,protein_coding,Encystation-mediating serine proteinase  [Source:UniProtKB/TrEMBL;Acc:A0A077YYF4],273
TTRE10976,Trichuris trichiura (PRJEB535),TTRE10976_t1,protein_coding,,447
TTRE10977,Trichuris trichiura (PRJEB535),TTRE10977_t1,protein_coding,Heparan-sulfate 6-O-sulfotransferase  [Source:UniProtKB/TrEMBL;Acc:A0A077YYL5],1239
TTRE10978,Trichuris trichiura (PRJEB535),TTRE10978_t1,protein_coding,,684
TTRE10979,Trichuris trichiura (PRJEB535),TTRE10979_t1,protein_coding,,255
TTRE1098,Trichuris trichiura (PRJEB535),TTRE1098_t1,protein_coding,,369
TTRE10980,Trichuris trichiura (PRJEB535),TTRE10980_t1,protein_coding,Deoxycytidylate deaminase  [Source:UniProtKB/TrEMBL;Acc:A0A077YXK7],534
TTRE10981,Trichuris trichiura (PRJEB535),TTRE10981_t1,protein_coding,,588
TTRE10982,Trichuris trichiura (PRJEB535),TTRE10982_t1,protein_coding,,207
TTRE10983,Trichuris trichiura (PRJEB535),TTRE10983_t1,protein_coding,Transmembrane protein 151B  [Source:UniProtKB/TrEMBL;Acc:A0A077Z2C3],1557
TTRE10984,Trichuris trichiura (PRJEB535),TTRE10984_t1,protein_coding,PH domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YYK3],1545
TTRE10985,Trichuris trichiura (PRJEB535),TTRE10985_t1,protein_coding,Conserved oligomeric Golgi complex subunit 6  [Source:UniProtKB/TrEMBL;Acc:A0A077YYD4],1878
TTRE10986,Trichuris trichiura (PRJEB535),TTRE10986_t1,protein_coding,ShK and CAP domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YYJ9],1479
TTRE10987,Trichuris trichiura (PRJEB535),TTRE10987_t1,protein_coding,,405
TTRE10988,Trichuris trichiura (PRJEB535),TTRE10988_t1,protein_coding,,555
TTRE10989,Trichuris trichiura (PRJEB535),TTRE10989_t1,protein_coding,,378
TTRE1099,Trichuris trichiura (PRJEB535),TTRE1099_t1,protein_coding,,1305
TTRE10990,Trichuris trichiura (PRJEB535),TTRE10990_t1,protein_coding,,2820
TTRE10991,Trichuris trichiura (PRJEB535),TTRE10991_t1,protein_coding,,495
TTRE10992,Trichuris trichiura (PRJEB535),TTRE10992_t1,protein_coding,Brix domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZG64],918
TTRE10993,Trichuris trichiura (PRJEB535),TTRE10993_t1,protein_coding,,753
TTRE10994,Trichuris trichiura (PRJEB535),TTRE10994_t1,protein_coding,,384
TTRE10995,Trichuris trichiura (PRJEB535),TTRE10995_t1,protein_coding,,381
TTRE10996,Trichuris trichiura (PRJEB535),TTRE10996_t1,protein_coding,,1482
TTRE10997,Trichuris trichiura (PRJEB535),TTRE10997_t1,protein_coding,,1299
TTRE10998,Trichuris trichiura (PRJEB535),TTRE10998_t1,protein_coding,,1191
TTRE10999,Trichuris trichiura (PRJEB535),TTRE10999_t1,protein_coding,,1191
TTRE11,Trichuris trichiura (PRJEB535),TTRE11_t1,protein_coding,,909
TTRE110,Trichuris trichiura (PRJEB535),TTRE110_t1,protein_coding,,1197
TTRE1100,Trichuris trichiura (PRJEB535),TTRE1100_t1,protein_coding,,996
TTRE11000,Trichuris trichiura (PRJEB535),TTRE11000_t1,protein_coding,,1905
TTRE11001,Trichuris trichiura (PRJEB535),TTRE11001_t1,protein_coding,,507
TTRE11002,Trichuris trichiura (PRJEB535),TTRE11002_t1,protein_coding,,249
TTRE11003,Trichuris trichiura (PRJEB535),TTRE11003_t1,protein_coding,LisH domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZJJ5],567
TTRE11004,Trichuris trichiura (PRJEB535),TTRE11004_t1,protein_coding,,1116
TTRE11005,Trichuris trichiura (PRJEB535),TTRE11005_t1,protein_coding,,1170
TTRE11006,Trichuris trichiura (PRJEB535),TTRE11006_t1,protein_coding,LisH domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZJJ5],567
TTRE11007,Trichuris trichiura (PRJEB535),TTRE11007_t1,protein_coding,,252
TTRE11008,Trichuris trichiura (PRJEB535),TTRE11008_t1,protein_coding,,205
TTRE11009,Trichuris trichiura (PRJEB535),TTRE11009_t1,protein_coding,,240
TTRE1101,Trichuris trichiura (PRJEB535),TTRE1101_t1,protein_coding,,576
TTRE11010,Trichuris trichiura (PRJEB535),TTRE11010_t1,protein_coding,,987
TTRE11011,Trichuris trichiura (PRJEB535),TTRE11011_t1,protein_coding,,543
TTRE11012,Trichuris trichiura (PRJEB535),TTRE11012_t1,protein_coding,,378
TTRE11013,Trichuris trichiura (PRJEB535),TTRE11013_t1,protein_coding,,771
TTRE11014,Trichuris trichiura (PRJEB535),TTRE11014_t1,protein_coding,,867
TTRE11015,Trichuris trichiura (PRJEB535),TTRE11015_t1,protein_coding,,762
TTRE11016,Trichuris trichiura (PRJEB535),TTRE11016_t1,protein_coding,,966
TTRE11017,Trichuris trichiura (PRJEB535),TTRE11017_t1,protein_coding,,1833
TTRE11018,Trichuris trichiura (PRJEB535),TTRE11018_t1,protein_coding,,1236
TTRE11019,Trichuris trichiura (PRJEB535),TTRE11019_t1,protein_coding,,1257
TTRE1102,Trichuris trichiura (PRJEB535),TTRE1102_t1,protein_coding,"Protein involved in positive regulation of both 1, 3-beta-glucan synthesis and the Pkc1p-MAPK pathway  [Source:UniProtKB/TrEMBL;Acc:A0A077ZK58]",573
TTRE11020,Trichuris trichiura (PRJEB535),TTRE11020_t1,protein_coding,,867
TTRE11021,Trichuris trichiura (PRJEB535),TTRE11021_t1,protein_coding,,735
TTRE11022,Trichuris trichiura (PRJEB535),TTRE11022_t1,protein_coding,,1062
TTRE11023,Trichuris trichiura (PRJEB535),TTRE11023_t1,protein_coding,,228
TTRE11024,Trichuris trichiura (PRJEB535),TTRE11024_t1,protein_coding,Mitochondrial chaperone BCS1  [Source:UniProtKB/TrEMBL;Acc:A0A077ZE24],1299
TTRE11025,Trichuris trichiura (PRJEB535),TTRE11025_t1,protein_coding,,1247
TTRE11026,Trichuris trichiura (PRJEB535),TTRE11026_t1,protein_coding,,324
TTRE11027,Trichuris trichiura (PRJEB535),TTRE11027_t1,protein_coding,,381
TTRE11028,Trichuris trichiura (PRJEB535),TTRE11028_t1,protein_coding,,987
TTRE11029,Trichuris trichiura (PRJEB535),TTRE11029_t1,protein_coding,,522
TTRE1103,Trichuris trichiura (PRJEB535),TTRE1103_t5,protein_coding,,1941
TTRE11030,Trichuris trichiura (PRJEB535),TTRE11030_t1,protein_coding,,2610
TTRE11031,Trichuris trichiura (PRJEB535),TTRE11031_t1,protein_coding,,1125
TTRE11032,Trichuris trichiura (PRJEB535),TTRE11032_t1,protein_coding,,597
TTRE11033,Trichuris trichiura (PRJEB535),TTRE11033_t1,protein_coding,,564
TTRE11034,Trichuris trichiura (PRJEB535),TTRE11034_t1,protein_coding,,471
TTRE11035,Trichuris trichiura (PRJEB535),TTRE11035_t1,protein_coding,,486
TTRE11036,Trichuris trichiura (PRJEB535),TTRE11036_t1,protein_coding,,852
TTRE11037,Trichuris trichiura (PRJEB535),TTRE11037_t1,protein_coding,,1362
TTRE11038,Trichuris trichiura (PRJEB535),TTRE11038_t1,protein_coding,,429
TTRE11039,Trichuris trichiura (PRJEB535),TTRE11039_t1,protein_coding,,1377
TTRE1104,Trichuris trichiura (PRJEB535),TTRE1104_t1,protein_coding,,873
TTRE11040,Trichuris trichiura (PRJEB535),TTRE11040_t1,protein_coding,,1791
TTRE11041,Trichuris trichiura (PRJEB535),TTRE11041_t1,protein_coding,,1191
TTRE11042,Trichuris trichiura (PRJEB535),TTRE11042_t1,protein_coding,,1191
TTRE11043,Trichuris trichiura (PRJEB535),TTRE11043_t1,protein_coding,,474
TTRE11044,Trichuris trichiura (PRJEB535),TTRE11044_t1,protein_coding,,1698
TTRE11045,Trichuris trichiura (PRJEB535),TTRE11045_t1,protein_coding,,3831
TTRE11046,Trichuris trichiura (PRJEB535),TTRE11046_t1,protein_coding,,285
TTRE11047,Trichuris trichiura (PRJEB535),TTRE11047_t1,protein_coding,,399
TTRE11048,Trichuris trichiura (PRJEB535),TTRE11048_t1,protein_coding,,561
TTRE11049,Trichuris trichiura (PRJEB535),TTRE11049_t1,protein_coding,,1248
TTRE1105,Trichuris trichiura (PRJEB535),TTRE1105_t1,protein_coding,PH domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z9P8],2523
TTRE11050,Trichuris trichiura (PRJEB535),TTRE11050_t1,protein_coding,,687
TTRE11051,Trichuris trichiura (PRJEB535),TTRE11051_t1,protein_coding,,1473
TTRE11052,Trichuris trichiura (PRJEB535),TTRE11052_t1,protein_coding,,981
TTRE11053,Trichuris trichiura (PRJEB535),TTRE11053_t1,protein_coding,,2520
TTRE11054,Trichuris trichiura (PRJEB535),TTRE11054_t1,protein_coding,,1524
TTRE11055,Trichuris trichiura (PRJEB535),TTRE11055_t1,protein_coding,,825
TTRE11056,Trichuris trichiura (PRJEB535),TTRE11056_t1,protein_coding,,2460
TTRE11057,Trichuris trichiura (PRJEB535),TTRE11057_t1,protein_coding,,1017
TTRE11058,Trichuris trichiura (PRJEB535),TTRE11058_t1,protein_coding,,1719
TTRE11059,Trichuris trichiura (PRJEB535),TTRE11059_t1,protein_coding,,1125
TTRE1106,Trichuris trichiura (PRJEB535),TTRE1106_t1,protein_coding,Homeobox protein goosecoid A  [Source:UniProtKB/TrEMBL;Acc:A0A077ZDZ5],747
TTRE11060,Trichuris trichiura (PRJEB535),TTRE11060_t1,protein_coding,,1323
TTRE11061,Trichuris trichiura (PRJEB535),TTRE11061_t1,protein_coding,,1206
TTRE11062,Trichuris trichiura (PRJEB535),TTRE11062_t1,protein_coding,,1161
TTRE11063,Trichuris trichiura (PRJEB535),TTRE11063_t1,protein_coding,,549
TTRE11064,Trichuris trichiura (PRJEB535),TTRE11064_t1,protein_coding,,579
TTRE11065,Trichuris trichiura (PRJEB535),TTRE11065_t1,protein_coding,,987
TTRE11066,Trichuris trichiura (PRJEB535),TTRE11066_t1,protein_coding,,549
TTRE11067,Trichuris trichiura (PRJEB535),TTRE11067_t1,protein_coding,,852
TTRE11068,Trichuris trichiura (PRJEB535),TTRE11068_t1,protein_coding,,441
TTRE11069,Trichuris trichiura (PRJEB535),TTRE11069_t1,protein_coding,,1656
TTRE1107,Trichuris trichiura (PRJEB535),TTRE1107_t1,protein_coding,NADH ubiquinone oxidoreductase ASHI subunit  [Source:UniProtKB/TrEMBL;Acc:A0A077ZMI1],567
TTRE11070,Trichuris trichiura (PRJEB535),TTRE11070_t1,protein_coding,,465
TTRE11071,Trichuris trichiura (PRJEB535),TTRE11071_t1,protein_coding,,777
TTRE11072,Trichuris trichiura (PRJEB535),TTRE11072_t1,protein_coding,,384
TTRE11073,Trichuris trichiura (PRJEB535),TTRE11073_t1,protein_coding,,414
TTRE11074,Trichuris trichiura (PRJEB535),TTRE11074_t1,protein_coding,,807
TTRE11075,Trichuris trichiura (PRJEB535),TTRE11075_t1,protein_coding,,807
TTRE11076,Trichuris trichiura (PRJEB535),TTRE11076_t1,protein_coding,,807
TTRE11077,Trichuris trichiura (PRJEB535),TTRE11077_t1,protein_coding,,1134
TTRE11078,Trichuris trichiura (PRJEB535),TTRE11078_t1,protein_coding,,366
TTRE11079,Trichuris trichiura (PRJEB535),TTRE11079_t1,protein_coding,,414
TTRE1108,Trichuris trichiura (PRJEB535),TTRE1108_t1,protein_coding,,240
TTRE11080,Trichuris trichiura (PRJEB535),TTRE11080_t1,protein_coding,,411
TTRE11081,Trichuris trichiura (PRJEB535),TTRE11081_t1,protein_coding,,414
TTRE11082,Trichuris trichiura (PRJEB535),TTRE11082_t1,protein_coding,,5277
TTRE11083,Trichuris trichiura (PRJEB535),TTRE11083_t1,protein_coding,,1566
TTRE11084,Trichuris trichiura (PRJEB535),TTRE11084_t1,protein_coding,,807
TTRE11085,Trichuris trichiura (PRJEB535),TTRE11085_t1,protein_coding,,315
TTRE11086,Trichuris trichiura (PRJEB535),TTRE11086_t1,protein_coding,,798
TTRE11087,Trichuris trichiura (PRJEB535),TTRE11087_t1,protein_coding,,1314
TTRE11088,Trichuris trichiura (PRJEB535),TTRE11088_t1,protein_coding,,1458
TTRE11089,Trichuris trichiura (PRJEB535),TTRE11089_t1,protein_coding,,300
TTRE1109,Trichuris trichiura (PRJEB535),TTRE1109_t1,protein_coding,Cytochrome c oxidase subunit 4  [Source:UniProtKB/TrEMBL;Acc:A0A077ZG84],564
TTRE11090,Trichuris trichiura (PRJEB535),TTRE11090_t1,protein_coding,,456
TTRE11091,Trichuris trichiura (PRJEB535),TTRE11091_t1,protein_coding,,8445
TTRE11092,Trichuris trichiura (PRJEB535),TTRE11092_t1,protein_coding,,1059
TTRE11093,Trichuris trichiura (PRJEB535),TTRE11093_t1,protein_coding,,1842
TTRE11094,Trichuris trichiura (PRJEB535),TTRE11094_t1,protein_coding,,3987
TTRE11095,Trichuris trichiura (PRJEB535),TTRE11095_t1,protein_coding,,747
TTRE11096,Trichuris trichiura (PRJEB535),TTRE11096_t1,protein_coding,,4026
TTRE11097,Trichuris trichiura (PRJEB535),TTRE11097_t1,protein_coding,Centrosomal protein of 41 kDa  [Source:UniProtKB/TrEMBL;Acc:A0A077Z4A6],648
TTRE11098,Trichuris trichiura (PRJEB535),TTRE11098_t1,protein_coding,,987
TTRE11099,Trichuris trichiura (PRJEB535),TTRE11099_t1,protein_coding,,525
TTRE111,Trichuris trichiura (PRJEB535),TTRE111_t1,protein_coding,,327
TTRE1110,Trichuris trichiura (PRJEB535),TTRE1110_t1,protein_coding,Putative hspa heat shock 70kda binding protein cy toplasmic cochaperone 1  [Source:UniProtKB/TrEMBL;Acc:A0A077Z406],972
TTRE11100,Trichuris trichiura (PRJEB535),TTRE11100_t1,protein_coding,,465
TTRE11101,Trichuris trichiura (PRJEB535),TTRE11101_t1,protein_coding,,273
TTRE11102,Trichuris trichiura (PRJEB535),TTRE11102_t1,protein_coding,,363
TTRE11103,Trichuris trichiura (PRJEB535),TTRE11103_t1,protein_coding,,1119
TTRE11104,Trichuris trichiura (PRJEB535),TTRE11104_t1,protein_coding,,5211
TTRE11105,Trichuris trichiura (PRJEB535),TTRE11105_t1,protein_coding,,682
TTRE11106,Trichuris trichiura (PRJEB535),TTRE11106_t1,protein_coding,,1308
TTRE11107,Trichuris trichiura (PRJEB535),TTRE11107_t1,protein_coding,,660
TTRE11108,Trichuris trichiura (PRJEB535),TTRE11108_t1,protein_coding,,636
TTRE11109,Trichuris trichiura (PRJEB535),TTRE11109_t1,protein_coding,,519
TTRE1111,Trichuris trichiura (PRJEB535),TTRE1111_t1,protein_coding,,1608
TTRE11110,Trichuris trichiura (PRJEB535),TTRE11110_t1,protein_coding,,342
TTRE11111,Trichuris trichiura (PRJEB535),TTRE11111_t1,protein_coding,DNA pol E B domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZM45],1014
TTRE11112,Trichuris trichiura (PRJEB535),TTRE11112_t1,protein_coding,,402
TTRE11113,Trichuris trichiura (PRJEB535),TTRE11113_t1,protein_coding,AMP-binding domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZM59],699
TTRE11114,Trichuris trichiura (PRJEB535),TTRE11114_t1,protein_coding,,333
TTRE11115,Trichuris trichiura (PRJEB535),TTRE11115_t1,protein_coding,,897
TTRE11116,Trichuris trichiura (PRJEB535),TTRE11116_t1,protein_coding,,1548
TTRE11117,Trichuris trichiura (PRJEB535),TTRE11117_t1,protein_coding,,273
TTRE11118,Trichuris trichiura (PRJEB535),TTRE11118_t1,protein_coding,,2016
TTRE11119,Trichuris trichiura (PRJEB535),TTRE11119_t1,protein_coding,,1071
TTRE1112,Trichuris trichiura (PRJEB535),TTRE1112_t1,protein_coding,HMG box domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZDL1],789
TTRE11120,Trichuris trichiura (PRJEB535),TTRE11120_t1,protein_coding,,321
TTRE11121,Trichuris trichiura (PRJEB535),TTRE11121_t1,protein_coding,,285
TTRE11122,Trichuris trichiura (PRJEB535),TTRE11122_t1,protein_coding,,681
TTRE11123,Trichuris trichiura (PRJEB535),TTRE11123_t1,protein_coding,,741
TTRE11124,Trichuris trichiura (PRJEB535),TTRE11124_t1,protein_coding,,675
TTRE11125,Trichuris trichiura (PRJEB535),TTRE11125_t1,protein_coding,,363
TTRE11126,Trichuris trichiura (PRJEB535),TTRE11126_t1,protein_coding,,519
TTRE11127,Trichuris trichiura (PRJEB535),TTRE11127_t1,protein_coding,,702
TTRE11128,Trichuris trichiura (PRJEB535),TTRE11128_t1,protein_coding,,1125
TTRE11129,Trichuris trichiura (PRJEB535),TTRE11129_t1,protein_coding,,786
TTRE1113,Trichuris trichiura (PRJEB535),TTRE1113_t1,protein_coding,,1413
TTRE11130,Trichuris trichiura (PRJEB535),TTRE11130_t1,protein_coding,,327
TTRE11131,Trichuris trichiura (PRJEB535),TTRE11131_t1,protein_coding,,1908
TTRE11132,Trichuris trichiura (PRJEB535),TTRE11132_t1,protein_coding,,273
TTRE11133,Trichuris trichiura (PRJEB535),TTRE11133_t1,protein_coding,,1596
TTRE11134,Trichuris trichiura (PRJEB535),TTRE11134_t1,protein_coding,,1116
TTRE11135,Trichuris trichiura (PRJEB535),TTRE11135_t1,protein_coding,,342
TTRE11136,Trichuris trichiura (PRJEB535),TTRE11136_t1,protein_coding,,2418
TTRE11137,Trichuris trichiura (PRJEB535),TTRE11137_t1,protein_coding,,681
TTRE11138,Trichuris trichiura (PRJEB535),TTRE11138_t1,protein_coding,,2226
TTRE11139,Trichuris trichiura (PRJEB535),TTRE11139_t1,protein_coding,,615
TTRE1114,Trichuris trichiura (PRJEB535),TTRE1114_t1,protein_coding,Angio-associated migratory cell protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z636],1191
TTRE11140,Trichuris trichiura (PRJEB535),TTRE11140_t1,protein_coding,,243
TTRE11141,Trichuris trichiura (PRJEB535),TTRE11141_t1,protein_coding,,4008
TTRE11142,Trichuris trichiura (PRJEB535),TTRE11142_t1,protein_coding,,783
TTRE11143,Trichuris trichiura (PRJEB535),TTRE11143_t1,protein_coding,,696
TTRE11144,Trichuris trichiura (PRJEB535),TTRE11144_t1,protein_coding,,636
TTRE11145,Trichuris trichiura (PRJEB535),TTRE11145_t1,protein_coding,,630
TTRE11146,Trichuris trichiura (PRJEB535),TTRE11146_t1,protein_coding,,993
TTRE11147,Trichuris trichiura (PRJEB535),TTRE11147_t1,protein_coding,,456
TTRE11148,Trichuris trichiura (PRJEB535),TTRE11148_t1,protein_coding,,480
TTRE11149,Trichuris trichiura (PRJEB535),TTRE11149_t1,protein_coding,,330
TTRE1115,Trichuris trichiura (PRJEB535),TTRE1115_t2,protein_coding,Glyco hydro 31 and Gal mutarotas 2 domain contain ing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YZY3],2967
TTRE11150,Trichuris trichiura (PRJEB535),TTRE11150_t1,protein_coding,,462
TTRE11151,Trichuris trichiura (PRJEB535),TTRE11151_t1,protein_coding,,342
TTRE11152,Trichuris trichiura (PRJEB535),TTRE11152_t1,protein_coding,,2232
TTRE11153,Trichuris trichiura (PRJEB535),TTRE11153_t1,protein_coding,,318
TTRE11154,Trichuris trichiura (PRJEB535),TTRE11154_t1,protein_coding,,2649
TTRE11156,Trichuris trichiura (PRJEB535),TTRE11156_t1,protein_coding,,3834
TTRE11157,Trichuris trichiura (PRJEB535),TTRE11157_t1,protein_coding,,495
TTRE11158,Trichuris trichiura (PRJEB535),TTRE11158_t1,protein_coding,,1191
TTRE11159,Trichuris trichiura (PRJEB535),TTRE11159_t1,protein_coding,,1191
TTRE1116,Trichuris trichiura (PRJEB535),TTRE1116_t1,protein_coding,,2661
TTRE11161,Trichuris trichiura (PRJEB535),TTRE11161_t1,protein_coding,,918
TTRE11162,Trichuris trichiura (PRJEB535),TTRE11162_t1,protein_coding,,774
TTRE11163,Trichuris trichiura (PRJEB535),TTRE11163_t1,protein_coding,,474
TTRE11164,Trichuris trichiura (PRJEB535),TTRE11164_t1,protein_coding,,234
TTRE11165,Trichuris trichiura (PRJEB535),TTRE11165_t1,protein_coding,,456
TTRE11166,Trichuris trichiura (PRJEB535),TTRE11166_t1,protein_coding,,354
TTRE11167,Trichuris trichiura (PRJEB535),TTRE11167_t1,protein_coding,,402
TTRE11168,Trichuris trichiura (PRJEB535),TTRE11168_t1,protein_coding,,5964
TTRE11169,Trichuris trichiura (PRJEB535),TTRE11169_t1,protein_coding,,7311
TTRE1117,Trichuris trichiura (PRJEB535),TTRE1117_t1,protein_coding,,708
TTRE11170,Trichuris trichiura (PRJEB535),TTRE11170_t1,protein_coding,,1785
TTRE11171,Trichuris trichiura (PRJEB535),TTRE11171_t1,protein_coding,,4653
TTRE11172,Trichuris trichiura (PRJEB535),TTRE11172_t1,protein_coding,,1875
