Gene stable ID,principal_transcript_id,principal_cds_length,principal_isoform_type,gene_description,genome_name,transcript_biotype,species,Human gene stable ID,Human gene name,Homology type,% identity,Human % identity,lacks_WBP_human_orthologue,lacks_WBP_human_orthologue_evidence,best_WBP_human_orthologue_lt_40pct_identity,best_WBP_human_orthologue_lt_40pct_identity_evidence
TTRE2171,TTRE2171_t2,381,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000115593,SMYD1,ortholog_many2many,18.0608,19.3878,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: SMYD1",True,Best human orthologue in WormBase ParaSite has < 40% identity: SMYD1 18.0608%
TTRE2172,TTRE2172_t1,1328,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000123636,BAZ2B,ortholog_one2one,21.5698,16.6052,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: BAZ2B",True,Best human orthologue in WormBase ParaSite has < 40% identity: BAZ2B 21.5698%
TTRE2173,TTRE2173_t1,180,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000160801,PTH1R,ortholog_many2many,24.6973,17.2007,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: PTH1R",True,Best human orthologue in WormBase ParaSite has < 40% identity: PTH1R 24.6973%
TTRE2174,TTRE2174_t1,179,protein_coding,Far-17a AIG1 domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YXI2],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000146416,AIG1,ortholog_one2many,26.3158,29.4118,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: AIG1",True,Best human orthologue in WormBase ParaSite has < 40% identity: AIG1 26.3158%
TTRE2175,TTRE2175_t1,377,protein_coding,Nucleoredoxin  [Source:UniProtKB/TrEMBL;Acc:A0A077ZEJ3],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000167693,NXN,ortholog_one2one,26.1745,26.8966,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: NXN",True,Best human orthologue in WormBase ParaSite has < 40% identity: NXN 26.1745%
TTRE2176,TTRE2176_t1,247,protein_coding,Protein quiver  [Source:UniProtKB/TrEMBL;Acc:A0A077Z4Q0],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2177,TTRE2177_t1,268,protein_coding,GCFC domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YX17],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000005436,GCFC2,ortholog_one2one,19.1943,20.7426,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: GCFC2",True,Best human orthologue in WormBase ParaSite has < 40% identity: GCFC2 19.1943%
TTRE2178,TTRE2178_t1,446,protein_coding,Serum response factor binding protein 1  [Source:UniProtKB/TrEMBL;Acc:A0A077ZDK9],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2179,TTRE2179_t1,809,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE218,TTRE218_t1,299,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000135723,FHOD1,ortholog_many2many,14.8515,12.8866,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: FHOD1",True,Best human orthologue in WormBase ParaSite has < 40% identity: FHOD1 14.8515%
TTRE2180,TTRE2180_t1,228,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2181,TTRE2181_t1,338,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000094804,CDC6,ortholog_one2one,24.3848,19.4643,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: CDC6",True,Best human orthologue in WormBase ParaSite has < 40% identity: CDC6 24.3848%
TTRE2182,TTRE2182_t1,890,protein_coding,Ras GTPase activating protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z7J6],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000170667,RASA4B,ortholog_many2many,9.25645,15.193,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: RASA4B",True,Best human orthologue in WormBase ParaSite has < 40% identity: RASA4B 9.25645%
TTRE2183,TTRE2183_t1,368,protein_coding,DUF5655 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077ZEF1],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2184,TTRE2184_t1,235,protein_coding,Thioredoxin domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z9W2],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2185,TTRE2185_t1,179,protein_coding,Thymidylate synthase  [Source:UniProtKB/TrEMBL;Acc:A0A077Z3J6],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000176890,TYMS,ortholog_one2one,64.6865,62.6198,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: TYMS",False,Best human orthologue found in WormBase Parasite has >= 40% identity: TYMS 64.6865%
TTRE2186,TTRE2186_t1,314,protein_coding,RNA cytidine acetyltransferase  [Source:UniProtKB/TrEMBL;Acc:A0A077Z2X2],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000135372,NAT10,ortholog_one2one,58.9286,57.9512,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: NAT10",False,Best human orthologue found in WormBase Parasite has >= 40% identity: NAT10 58.9286%
TTRE2187,TTRE2187_t1,151,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000255112,CHMP1B,ortholog_one2one,67.8571,66.8342,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: CHMP1B",False,Best human orthologue found in WormBase Parasite has >= 40% identity: CHMP1B 67.8571%
TTRE2188,TTRE2188_t1,254,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2189,TTRE2189_t1,226,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000101868,POLA1,ortholog_one2one,34.7885,34.7411,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: POLA1",True,Best human orthologue in WormBase ParaSite has < 40% identity: POLA1 34.7885%
TTRE219,TTRE219_t1,695,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000090447,TFAP4,ortholog_one2one,18.5859,27.2189,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: TFAP4",True,Best human orthologue in WormBase ParaSite has < 40% identity: TFAP4 18.5859%
TTRE2190,TTRE2190_t1,302,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000123992,DNPEP,ortholog_one2one,42.8571,41.4433,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: DNPEP",False,Best human orthologue found in WormBase Parasite has >= 40% identity: DNPEP 42.8571%
TTRE2191,TTRE2191_t1,176,protein_coding,glutaminase  [Source:UniProtKB/TrEMBL;Acc:A0A077ZEY1],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000115419,GLS,ortholog_one2many,45.8961,40.9567,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: GLS",False,Best human orthologue found in WormBase Parasite has >= 40% identity: GLS 45.8961%
TTRE2192,TTRE2192_t1,589,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000110514,MADD,ortholog_one2one,33.8674,28.1818,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: MADD",True,Best human orthologue in WormBase ParaSite has < 40% identity: MADD 33.8674%
TTRE2193,TTRE2193_t1,463,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2194,TTRE2194_t1,164,protein_coding,DUF4390 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z3Z5],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2195,TTRE2195_t1,867,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000286219,NOTCH2NLC,ortholog_many2many,6.78191,17.4061,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: NOTCH2NLC",True,Best human orthologue in WormBase ParaSite has < 40% identity: NOTCH2NLC 6.78191%
TTRE2196,TTRE2196_t1,632,protein_coding,Coatomer subunit beta  [Source:UniProtKB/TrEMBL;Acc:A0A077Z614],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000129083,COPB1,ortholog_one2one,54.536,54.8793,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: COPB1",False,Best human orthologue found in WormBase Parasite has >= 40% identity: COPB1 54.536%
TTRE2197,TTRE2197_t1,279,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000111405,ENDOU,ortholog_one2many,25.2688,22.9268,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: ENDOU",True,Best human orthologue in WormBase ParaSite has < 40% identity: ENDOU 25.2688%
TTRE2198,TTRE2198_t1,402,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2199,TTRE2199_t1,144,protein_coding,Ribosome production factor 2 homolog  [Source:UniProtKB/TrEMBL;Acc:A0A077YXV7],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000197498,RPF2,ortholog_one2one,48.495,47.3856,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: RPF2",False,Best human orthologue found in WormBase Parasite has >= 40% identity: RPF2 48.495%
TTRE22,TTRE22_t1,420,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000168476,REEP4,ortholog_many2many,41.0042,38.1323,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: REEP4",False,Best human orthologue found in WormBase Parasite has >= 40% identity: REEP4 41.0042%
TTRE220,TTRE220_t1,230,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2200,TTRE2200_t1,598,protein_coding,Bifunctional coenzyme A synthase  [Source:UniProtKB/TrEMBL;Acc:A0A077ZDK3],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000068120,COASY,ortholog_one2one,33.3969,31.0284,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: COASY",True,Best human orthologue in WormBase ParaSite has < 40% identity: COASY 33.3969%
TTRE2201,TTRE2201_t1,197,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000134759,ELP2,ortholog_one2one,31.2183,29.7821,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: ELP2",True,Best human orthologue in WormBase ParaSite has < 40% identity: ELP2 31.2183%
TTRE2202,TTRE2202_t1,551,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2203,TTRE2203_t2,262,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000140992,PDPK1,ortholog_one2one,44.9558,45.6835,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: PDPK1",False,Best human orthologue found in WormBase Parasite has >= 40% identity: PDPK1 44.9558%
TTRE2204,TTRE2204_t1,234,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000125445,MRPS7,ortholog_one2one,37.8855,35.5372,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: MRPS7",True,Best human orthologue in WormBase ParaSite has < 40% identity: MRPS7 37.8855%
TTRE2205,TTRE2205_t1,245,protein_coding,Aha1 N and AHSA1 domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z253],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000100591,AHSA1,ortholog_one2one,41.4286,42.8994,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: AHSA1",False,Best human orthologue found in WormBase Parasite has >= 40% identity: AHSA1 41.4286%
TTRE2206,TTRE2206_t1,862,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000240891,PLCXD2,ortholog_one2many,32.5879,29.912,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: PLCXD2",True,Best human orthologue in WormBase ParaSite has < 40% identity: PLCXD2 32.5879%
TTRE2207,TTRE2207_t2,595,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2208,TTRE2208_t1,521,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2209,TTRE2209_t1,313,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE221,TTRE221_t1,283,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000162438,CTRC,ortholog_one2many,27.4448,32.4627,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: CTRC",True,Best human orthologue in WormBase ParaSite has < 40% identity: CTRC 27.4448%
TTRE2210,TTRE2210_t1,590,protein_coding,Zf-C2H2 and zf-H2C2 2 domain containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YZV6],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000112238,PRDM13,ortholog_one2many,40.8163,11.3154,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: PRDM13",False,Best human orthologue found in WormBase Parasite has >= 40% identity: PRDM13 40.8163%
TTRE2211,TTRE2211_t1,416,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000138107,ACTR1A,ortholog_one2one,78.2493,78.4574,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: ACTR1A",False,Best human orthologue found in WormBase Parasite has >= 40% identity: ACTR1A 78.2493%
TTRE2212,TTRE2212_t1,295,protein_coding,Serine/threonine-protein phosphatase  [Source:UniProtKB/TrEMBL;Acc:A0A077Z2W3],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000107758,PPP3CB,ortholog_one2many,68.1319,70.9924,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: PPP3CB",False,Best human orthologue found in WormBase Parasite has >= 40% identity: PPP3CB 68.1319%
TTRE2213,TTRE2213_t1,292,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2214,TTRE2214_t1,1053,protein_coding,Ribonuclease H1  [Source:UniProtKB/TrEMBL;Acc:A0A077YW38],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000171865,RNASEH1,ortholog_one2one,31.1111,39.1608,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: RNASEH1",True,Best human orthologue in WormBase ParaSite has < 40% identity: RNASEH1 31.1111%
TTRE2215,TTRE2215_t1,920,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2216,TTRE2216_t1,230,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2217,TTRE2217_t1,249,protein_coding,Tyrosine protein phosphatase non receptor type  [Source:UniProtKB/TrEMBL;Acc:A0A077Z2A4],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2218,TTRE2218_t1,273,protein_coding,DNA replication licensing factor MCM4  [Source:UniProtKB/TrEMBL;Acc:A0A077ZGF4],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000104738,MCM4,ortholog_one2one,46.8263,45.3071,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: MCM4",False,Best human orthologue found in WormBase Parasite has >= 40% identity: MCM4 46.8263%
TTRE2219,TTRE2219_t1,308,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000065978,YBX1,ortholog_one2one,32.8125,32.4074,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: YBX1",True,Best human orthologue in WormBase ParaSite has < 40% identity: YBX1 32.8125%
TTRE222,TTRE222_t1,283,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000103023,PRSS54,ortholog_one2many,17.3502,13.9241,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: PRSS54",True,Best human orthologue in WormBase ParaSite has < 40% identity: PRSS54 17.3502%
TTRE2220,TTRE2220_t1,575,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000111799,COL12A1,ortholog_many2many,5.53971,4.44009,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: COL12A1",True,Best human orthologue in WormBase ParaSite has < 40% identity: COL12A1 5.53971%
TTRE2221,TTRE2221_t3,698,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2222,TTRE2222_t1,665,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2223,TTRE2223_t1,190,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2224,TTRE2224_t1,323,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000088205,DDX18,ortholog_one2one,51.0511,50.7463,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: DDX18",False,Best human orthologue found in WormBase Parasite has >= 40% identity: DDX18 51.0511%
TTRE2225,TTRE2225_t1,1472,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2226,TTRE2226_t1,383,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2227,TTRE2227_t1,179,protein_coding,Collagen and Col cuticle N domain containing prot ein  [Source:UniProtKB/TrEMBL;Acc:A0A077YZE5],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2228,TTRE2228_t1,222,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000181035,SLC25A42,ortholog_one2one,55.0847,40.8805,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: SLC25A42",False,Best human orthologue found in WormBase Parasite has >= 40% identity: SLC25A42 55.0847%
TTRE2229,TTRE2229_t1,1009,protein_coding,Neprilysin 2  [Source:UniProtKB/TrEMBL;Acc:A0A077ZHN7],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000142606,MMEL1,ortholog_many2many,30.8201,29.9101,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: MMEL1",True,Best human orthologue in WormBase ParaSite has < 40% identity: MMEL1 30.8201%
TTRE223,TTRE223_t1,204,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2230,TTRE2230_t1,2093,protein_coding,PAZ and DUF1785 and Piwi domain containing protei n  [Source:UniProtKB/TrEMBL;Acc:A0A077ZA53],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2231,TTRE2231_t1,200,protein_coding,Regulator of G protein signaling 7  [Source:UniProtKB/TrEMBL;Acc:A0A077Z902],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000182901,RGS7,ortholog_many2many,49.8943,47.6768,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: RGS7",False,Best human orthologue found in WormBase Parasite has >= 40% identity: RGS7 49.8943%
TTRE2232,TTRE2232_t1,326,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000057593,F7,ortholog_many2many,22.2874,17.1171,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: F7",True,Best human orthologue in WormBase ParaSite has < 40% identity: F7 22.2874%
TTRE2233,TTRE2233_t1,305,protein_coding,T-complex protein 1 subunit epsilon  [Source:UniProtKB/TrEMBL;Acc:A0A077ZI54],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000150753,CCT5,ortholog_one2one,61.7916,62.4769,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: CCT5",False,Best human orthologue found in WormBase Parasite has >= 40% identity: CCT5 61.7916%
TTRE2234,TTRE2234_t1,176,protein_coding,Protein C10  [Source:UniProtKB/TrEMBL;Acc:A0A077Z4Q5],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2235,TTRE2235_t1,240,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2236,TTRE2236_t1,1003,protein_coding,EGF-like domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A077YZH5],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2237,TTRE2237_t1,578,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2238,TTRE2238_t1,654,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000141994,DUS3L,ortholog_one2many,48.5714,39.2308,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: DUS3L",False,Best human orthologue found in WormBase Parasite has >= 40% identity: DUS3L 48.5714%
TTRE2239,TTRE2239_t1,203,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE224,TTRE224_t1,334,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000162521,RBBP4,ortholog_many2many,36.75,34.5882,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: RBBP4",True,Best human orthologue in WormBase ParaSite has < 40% identity: RBBP4 36.75%
TTRE2240,TTRE2240_t1,201,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2241,TTRE2241_t1,338,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2242,TTRE2242_t1,360,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000134115,CNTN6,ortholog_many2many,15.0965,12.9377,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: CNTN6",True,Best human orthologue in WormBase ParaSite has < 40% identity: CNTN6 15.0965%
TTRE2243,TTRE2243_t1,253,protein_coding,glycine--tRNA ligase  [Source:UniProtKB/TrEMBL;Acc:A0A077Z7C4],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000106105,GARS1,ortholog_one2one,53.112,51.9621,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: GARS1",False,Best human orthologue found in WormBase Parasite has >= 40% identity: GARS1 53.112%
TTRE2244,TTRE2244_t1,2429,protein_coding,Phospholipase A 2 activating protein  [Source:UniProtKB/TrEMBL;Acc:A0A077Z6X3],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000137055,PLAA,ortholog_one2one,30.0371,30.566,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: PLAA",True,Best human orthologue in WormBase ParaSite has < 40% identity: PLAA 30.0371%
TTRE2245,TTRE2245_t1,419,protein_coding,"Myosin heavy chain, non muscle  [Source:UniProtKB/TrEMBL;Acc:A0A077Z5K1]",Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2246,TTRE2246_t1,811,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000166145,SPINT1,ortholog_many2many,13.1313,7.60234,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: SPINT1",True,Best human orthologue in WormBase ParaSite has < 40% identity: SPINT1 13.1313%
TTRE2247,TTRE2247_t1,186,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,,,,0.0,,True,No human orthologue listed in WormBase ParaSite,True,No human orthologue listed in WormBase ParaSite
TTRE2248,TTRE2248_t2,273,protein_coding,Solute carrier family 12  [Source:UniProtKB/TrEMBL;Acc:A0A077ZCE5],Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000064651,SLC12A2,ortholog_many2many,41.6901,36.6337,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: SLC12A2",False,Best human orthologue found in WormBase Parasite has >= 40% identity: SLC12A2 41.6901%
TTRE2249,TTRE2249_t1,1341,protein_coding,,Trichuris trichiura (PRJEB535),protein_coding,trtricprjeb535,ENSG00000168386,FILIP1L,ortholog_one2many,16.4592,10.0,False,"Has human orthologue(s) in WormBase ParaSite, the most similar is: FILIP1L",True,Best human orthologue in WormBase ParaSite has < 40% identity: FILIP1L 16.4592%
